path,size_bytes
00_master/taksa_database_usage_decision.md,5402
00_master/taksa_database_usage_decision_matrix.csv,6138
00_master/taksa_extraction_summary.md,2340
00_master/taksa_master_document_index.csv,1512
00_master/taksa_research_tracker.md,15205
01_sections_md/taksa_db_backup_addendum.md,6699
01_sections_md/taksa_section01_source_inventory.md,13312
01_sections_md/taksa_section02_report_catalog.md,15672
01_sections_md/taksa_section03_database_map.md,14782
01_sections_md/taksa_section04_roundtrip_format_map.md,6938
01_sections_md/taksa_section05_import_export_mapping.md,14388
01_sections_md/taksa_section06_ui_workflow_map.md,15153
01_sections_md/taksa_section07_excel_template_analysis.md,12970
01_sections_md/taksa_section08_business_rules_map.md,14446
01_sections_md/taksa_section09_web_entity_model.md,6557
01_sections_md/taksa_section10_workflow_and_cycles.md,6150
01_sections_md/taksa_section11_react_next_page_architecture.md,7615
01_sections_md/taksa_section12_calculation_engine_and_validation.md,7766
01_sections_md/taksa_section13_implementation_roadmap.md,8794
02_section_tables/taksa_database_usage_decision_matrix.csv,6138
02_section_tables/taksa_db_backup_candidate_tables_top120.csv,8454
02_section_tables/taksa_db_backup_impact_matrix.csv,2387
02_section_tables/taksa_db_backup_important_dependency_edges.csv,12397
02_section_tables/taksa_db_backup_object_category_summary.csv,1012
02_section_tables/taksa_db_backup_objects_classified.csv,33605
02_section_tables/taksa_section01_source_inventory_matrix.csv,4232
02_section_tables/taksa_section02_canonical_report_names.csv,14830
02_section_tables/taksa_section02_folder_prefix_matrix.csv,840
02_section_tables/taksa_section02_mvp_report_outputs.csv,2216
02_section_tables/taksa_section02_prefix_summary.csv,883
02_section_tables/taksa_section02_report_family_matrix.csv,5833
02_section_tables/taksa_section02_report_folder_summary.csv,1373
02_section_tables/taksa_section03_foreign_keys.csv,28157
02_section_tables/taksa_section03_primary_keys.csv,2950
02_section_tables/taksa_section03_relation_hubs.csv,11747
02_section_tables/taksa_section03_scp_comparer_options.csv,6680
02_section_tables/taksa_section03_table_columns.csv,356137
02_section_tables/taksa_section03_table_family_summary.csv,4029
02_section_tables/taksa_section03_table_schema_summary.csv,9199
02_section_tables/taksa_section03_xml_import_tables.csv,30613
02_section_tables/taksa_section04_binary_template_inventory.csv,1474
02_section_tables/taksa_section04_roundtrip_requirements.csv,2684
02_section_tables/taksa_section04_scriptxml_vs_actual_svzt.csv,5771
02_section_tables/taksa_section04_svzt_field_matrix.csv,79557
02_section_tables/taksa_section04_svzt_table_summary.csv,21075
02_section_tables/taksa_section04_svzt_web_family_map.csv,2579
02_section_tables/taksa_section05_actual_vs_scriptxml_mapping.csv,4085
02_section_tables/taksa_section05_import_export_pipeline.csv,1654
02_section_tables/taksa_section05_key_relation_patterns.csv,2082
02_section_tables/taksa_section05_raw_to_web_entity_mapping.csv,9485
02_section_tables/taksa_section05_roundtrip_risk_controls.csv,2129
02_section_tables/taksa_section05_scriptxml_import_order.csv,29274
02_section_tables/taksa_section05_table_type_nusv_distribution.csv,20219
02_section_tables/taksa_section05_type_situ_periods.csv,2247
02_section_tables/taksa_section06_gws_column_dictionary.csv,259499
02_section_tables/taksa_section06_gws_grid_catalog.csv,107334
02_section_tables/taksa_section06_taksa_resources.csv,1356
02_section_tables/taksa_section06_tips_capability_catalog.csv,46963
02_section_tables/taksa_section06_ui_module_family_summary.csv,1127
02_section_tables/taksa_section06_web_ux_workflow_recommendations.csv,2923
02_section_tables/taksa_section07_excel_column_dictionary.csv,4738
02_section_tables/taksa_section07_excel_roundtrip_requirements.csv,1961
02_section_tables/taksa_section07_excel_template_catalog.csv,5813
02_section_tables/taksa_section07_template_to_web_output_map.csv,1516
02_section_tables/taksa_section08_business_rule_source_matrix.csv,7618
02_section_tables/taksa_section08_calculation_engine_requirements.csv,6321
02_section_tables/taksa_section08_rule_pdf_inventory.csv,32020
02_section_tables/taksa_section08_rule_validation_tests.csv,2003
02_section_tables/taksa_section08_sql_rule_object_map.csv,25080
02_section_tables/taksa_section09_entity_relationships.csv,3673
02_section_tables/taksa_section09_entity_roundtrip_rules.csv,1622
02_section_tables/taksa_section09_module_boundaries.csv,1461
