object_type,object_name,depends_on,depends_on_module
FUNCTION,KhmtHasErrInRadDT,brv_khmt,brv / برآورد، قرارداد، ریزمتره، منابع
FUNCTION,KhmtHasErrInRad,brv_khmt,brv / برآورد، قرارداد، ریزمتره، منابع
VIEW,viwbase95,base_book,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase95,base_fhbh,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase95,base_fsbs,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase87,base_book,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase87,base_fhbh,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase87,base_fsbs,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase87,base_book,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase87,base_fhbh,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase87,base_fsbs,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase87,base_book,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase87,base_fhbh,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase87,base_fsbs,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase93,base_book,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase93,base_fhbh,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase93,base_fsbs,base / فهرست‌بها و اطلاعات پایه
VIEW,viwBase1402,base_book,base / فهرست‌بها و اطلاعات پایه
VIEW,viwBase1402,base_fhbh,base / فهرست‌بها و اطلاعات پایه
VIEW,viwBase1402,base_fsbs,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,SVZIMPORT01_prepare,svz_importer,svz / صورت‌وضعیت یا ایمپورت آن
VIEW,vwNezarat,smn_contract,smn / صورت‌وضعیت، نظارت، ماهانه
TRIGGER,Trg_Delete,base_fhbh,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,CopyProjectProp,brv_contract,brv / برآورد، قرارداد، ریزمتره، منابع
VIEW,viwbase88,base_book,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase88,base_fhbh,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase88,base_fsbs,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,BRVIMPORT01_prepare,brv_importer,brv / برآورد، قرارداد، ریزمتره، منابع
