type,category,count
FUNCTION,Utility / نرمال‌سازی مقدار,23
FUNCTION,نیازمند بررسی,19
FUNCTION,قفل/حذف/حفظ وابستگی,2
PROCEDURE,نیازمند بررسی,53
PROCEDURE,تبدیل/به‌روزرسانی/کپی مبانی,22
PROCEDURE,Utility / نرمال‌سازی مقدار,14
PROCEDURE,ورود/ایمپورت فایل‌ها,10
PROCEDURE,دسترسی/نقش/وضعیت کاربر,7
PROCEDURE,قفل/حذف/حفظ وابستگی,6
PROCEDURE,گزارش‌ها/درخت گزارش,1
TABLE,نیازمند بررسی,4
TABLE,فهرست‌بها / مبانی / شاخص,1
TRIGGER,قفل/حذف/حفظ وابستگی,7
TRIGGER,Utility / نرمال‌سازی مقدار,1
TRIGGER,دسترسی/نقش/وضعیت کاربر,1
VIEW,فهرست‌بها / مبانی / شاخص,26
VIEW,ویو گزارش/محاسبات,13
VIEW,نیازمند بررسی,4
VIEW,قفل/حذف/حفظ وابستگی,2
VIEW,مناقصه/پیشنهاد,1
VIEW,گزارش‌ها/درخت گزارش,1
