type,name,dependencies_count,dependencies,header,category
FUNCTION,AddZeroToMake2Digit,1,AddZeroToMake2Digit,create FUNCTION [dbo].[AddZeroToMake2Digit] (@num NVARCHAR(10)),Utility / نرمال‌سازی مقدار
FUNCTION,CalcFbhNusu,0,,CREATE FUNCTION CalcFbhNusu,نیازمند بررسی
FUNCTION,compare_projects_fhpy,1,compare_projects_fhpy,"CREATE FUNCTION dbo.compare_projects_fhpy(@p1 int , @p2 int )",نیازمند بررسی
FUNCTION,Correct,1,Correct,CREATE FUNCTION [dbo].[Correct] (@vchValue nvarchar(4000)),Utility / نرمال‌سازی مقدار
FUNCTION,Correct_reverse,1,Correct_reverse,CREATE FUNCTION [dbo].[Correct_reverse] (@vchValue nvarchar(4000)),Utility / نرمال‌سازی مقدار
FUNCTION,decimal_swap,1,decimal_swap,CREATE FUNCTION [dbo].[decimal_swap] (@vchValue nvarchar(4000)) RETURNS nvarchar(4000),Utility / نرمال‌سازی مقدار
FUNCTION,FN_CheckAnalyze,2,"FN_CheckAnalyze, base_nmmhb","CREATE FUNCTION [dbo].[FN_CheckAnalyze] (@Year INT,@Nufh INT,@Nuse INT,@Cofh NVARCHAR(10))",نیازمند بررسی
FUNCTION,fn_diagramobjects,9,"fn_diagramobjects, sp_alterdiagram, sp_creatediagram, sp_dropdiagram, sp_helpdiagramdefinition, sp_helpdiagrams, sp_renamediagram, sp_upgraddiagrams, sysdiagrams",CREATE FUNCTION dbo.fn_diagramobjects(),نیازمند بررسی
FUNCTION,Fn_TypeIsLocked,1,brv_type_situ,"CREATE FUNCTION Fn_TypeIsLocked ( @Link_Proj INT,@Type_ID INT )",قفل/حذف/حفظ وابستگی
FUNCTION,Fn_VersionNztIsLocked,2,"Fn_VersionNztIsLocked, smn_Version_Type","CREATE FUNCTION [dbo].[Fn_VersionNztIsLocked] ( @Link_Proj INT,@Type_ID INT )",قفل/حذف/حفظ وابستگی
FUNCTION,get_new_id,3,"brv_mogs, get_new_id, val","CREATE FUNCTION dbo.get_new_id ()-- (@table nvarchar(500) , @grop nvarchar(500) )",نیازمند بررسی
FUNCTION,GetCofhExists,2,"base_book, base_fhbh",CREATE FUNCTION GetCofhExists,نیازمند بررسی
FUNCTION,GetCofhOfNmmhb,1,base_nmmhb,CREATE FUNCTION GetCofhOfNmmhb,نیازمند بررسی
FUNCTION,GetLinkSorclist,2,"GetLinkSorclist, base_sorc_list",CREATE FUNCTION [dbo].[GetLinkSorclist],نیازمند بررسی
FUNCTION,GetNuse,2,"GetNuse, brv_fhbh",CREATE FUNCTION [dbo].[GetNuse],نیازمند بررسی
