name_lower,count,folders,prefixes
br_bgml_norm.rpt,9,"Comp_NaftGaz, Custom_1, Custom_2, Custom_5, Fhbh_NaftGaz, Land, Port, Shahrdari",br
br_seas_norm.rpt,9,"Comp_NaftGaz, Custom, Custom_1, Custom_2, Custom_5, Fhbh_NaftGaz, Land, Port",br
br_ana.rpt,8,"Comp_NaftGaz, Custom_1, Custom_2, Custom_5, Fhbh_NaftGaz, Land, Port, stnd",br
br_pymn_mash.rpt,8,"Comp_NaftGaz, Custom_1, Custom_2, Custom_5, Fhbh_NaftGaz, Land, Port, stnd",br
sv_bgml_norm.rpt,8,"Custom, Custom_3, Custom_4, Land, Port, Shahrdari, abfa, stnd",sv
sv_pymn.rpt,8,"Custom, Custom_3, Custom_4, Land, Port, abfa, abfa_ghom, stnd",sv
sv_seas_norm.rpt,8,"Custom, Custom_3, Custom_4, Land, Port, Shahrdari, abfa, stnd",sv
sv_bgml_brv_ol.rpt,7,"Custom, Custom_3, Custom_4, Land, Port, gaz, stnd",sv
sv_bgml_tj_shahrdari.rpt,7,"Custom_3, Custom_4, Custom_5, Land, Port, Shahrdari, stnd",sv
sv_seas_brv_ol.rpt,7,"Custom, Custom_3, Custom_4, Land, Port, gaz, stnd",sv
br_note_tdil.rpt,6,"Custom_1, Custom_5, Fhbh_NaftGaz, Land, Port, stnd",br
br_pymn.rpt,6,"Land, Naft_refahi, Naft_refahi_brv, Port, Shahrdari, stnd",br
br_seas_tdil.rpt,6,"Custom_1, Custom_5, Fhbh_NaftGaz, Land, Port, stnd",br
br_zrib_koli.rpt,6,"Custom_1, Custom_5, Fhbh_NaftGaz, Land, Port, stnd",br
sv_bgml_afka.rpt,6,"Custom, Custom_3, Custom_4, Land, Port, stnd",sv
sv_hmpy_rzmt.rpt,6,"Custom, Custom_3, Custom_4, Land, Port, stnd",sv
sv_rzmt.rpt,6,"Custom, Custom_3, Custom_4, Land, Port, stnd",sv
sv_rzmt_btf.rpt,6,"Custom, Custom_3, Custom_4, Land, Port, stnd",sv
az_anamb.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",az
br_bgml_comp.rpt,5,"Custom_1, Fhbh_NaftGaz, Land, Port, stnd",br
br_bgml_fhbh.rpt,5,"Custom, Custom_2, Land, Port, stnd",br
bs_anab.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",bs
bs_comp_tdil.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",bs
bs_fhbh0.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",bs
bs_fhbh1.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",bs
bs_fhbh_ader0.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",bs
bs_fhbh_ader1.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",bs
bs_shkh_fasli.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",bs
bs_shkh_koli.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",bs
bs_shkh_rest.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",bs
bs_sorc_ama.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",bs
bs_sorc_net.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",bs
bs_sorc_roz.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",bs
bs_sorc_tot.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",bs
