folder,arm,az,br,bs,intp,item,pbr,pk,ppsv,ps,psport,pstp,report,rpt,sub,sv
Comp_NaftGaz,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Custom,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,15
Custom_1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Custom_2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Custom_3,0,1,0,28,1,0,0,5,1,0,0,0,2,0,1,111
Custom_4,0,1,0,29,1,0,0,5,1,0,0,0,0,0,0,118
Custom_5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2
English,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
Fhbh_NaftGaz,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0
Land,0,1,96,28,1,0,0,5,0,179,2,1,3,0,0,113
Naft_refahi,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Naft_refahi_brv,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Port,0,1,90,30,1,0,1,5,1,95,0,0,0,0,0,118
Shahrdari,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,6
abfa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
abfa_ghom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
gaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
stnd,0,1,107,30,1,1,0,36,0,116,0,0,1,0,0,129
