constraint,child_table,child_columns,parent_table,parent_columns,on_update,on_delete
FK_tbns_nash,Pek_tbns,NSC_Numv|NSC_Type,Pek_nash,nsh_numv|nsh_type,"NO ACTION
  ON DELETE CASCADE",CASCADE
FK_Pyr_Seri_degree_Pyr_Seri,Pek_Pyr_Seri_Degree,sd_CodeSeri,Pek_Pyr_Seri,ser_CodeSeri,"NO ACTION
  ON DELETE CASCADE",CASCADE
FK_Pyr_Rabet_Peyman_Pyr_Seri_degree,Pek_Pyr_Rabet_Peyman,rrp_CodeSeri|rrp_CodeDegree,Pek_Pyr_Seri_Degree,sd_CodeSeri|sd_CodeDegree,"NO ACTION
  ON DELETE CASCADE",CASCADE
FK_Pek_Pyr_Rabet_Peyman_Pek_Pyr_List,Pek_Pyr_Rabet_Peyman,rrp_CompanyID,Pek_Pyr_List,lst_ID,"NO ACTION
  ON DELETE CASCADE",CASCADE
FK_Pek_Pyr_List_Pek_Ostan,Pek_Pyr_List,lst_OstanName,Pek_Ostan,ost_English,"CASCADE
  ON DELETE NO ACTION",NO ACTION
FK_Pym_Seri_degree_Pym_Seri,Pek_Pym_Seri_Degree,sd_CodeSeri,Pek_Pym_Seri,ser_CodeSeri,"NO ACTION
  ON DELETE CASCADE",CASCADE
FK_Pym_Rabet_Peyman_Pym_Seri_degree,Pek_Pym_Rabet_Peyman,rrp_CodeSeri|rrp_CodeDegree,Pek_Pym_Seri_Degree,sd_CodeSeri|sd_CodeDegree,"NO ACTION
  ON DELETE CASCADE",CASCADE
FK_Pek_Pym_Rabet_Peyman_Pek_Pym_List,Pek_Pym_Rabet_Peyman,rrp_CompanyID,Pek_Pym_List,lst_ID,"NO ACTION
  ON DELETE CASCADE",CASCADE
FK_Pym_Rabet_Manager_Pym_Position,Pek_Pym_Rabet_Manager,rhm_Position,Pek_Pym_Position,pos_Code,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
FK_Pym_Rabet_Manager_Pym_Manage,Pek_Pym_Rabet_Manager,rhm_CodeManage,Pek_Pym_Manage,mng_Rad,"NO ACTION
  ON DELETE NO ACTION",NO ACTION
