source,table,constraint,columns
myscr.sql,acti,acti_pk,act_identity
myscr.sql,acts,acts_pk,acs_identity
myscr.sql,bgml,bgml_pk,bgm_identity
myscr.sql,bmac,bmac_pk,bgm_identity
myscr.sql,fhbh,fhbh_pk,fbh_identity
myscr.sql,fhpy,fhpy_pk,fhp_identity
myscr.sql,fspy,fspy_pk,fsp_identity
myscr.sql,hmpy,hmpy_pk,hmp_identity
myscr.sql,khmt,khmt_pk,kmt_identity
myscr.sql,kmac,kmac_pk,kmt_identity
myscr.sql,mogs,mogs_pk,mog_identity
myscr.sql,nmac,nmac_pk,nmh_identity
myscr.sql,nmmh,nmmh_pk,nmh_identity
myscr.sql,rzmt,rzmt_pk,rmt_identity
myscr.sql,scac,scac_pk,src_identity
myscr.sql,sorc,sorc_pk,src_identity
myscr.sql,acti,acti_pk,act_identity
myscr.sql,acts,acts_pk,acs_identity
myscr.sql,bgml,bgml_pk,bgm_identity
myscr.sql,bmac,bmac_pk,bgm_identity
myscr.sql,fhbh,fhbh_pk,fbh_identity
myscr.sql,fhpy,fhpy_pk,fhp_identity
myscr.sql,fspy,fspy_pk,fsp_identity
myscr.sql,hmpy,hmpy_pk,hmp_identity
myscr.sql,khmt,khmt_pk,kmt_identity
myscr.sql,kmac,kmac_pk,kmt_identity
myscr.sql,mogs,mogs_pk,mog_identity
myscr.sql,nmac,nmac_pk,nmh_identity
myscr.sql,nmmh,nmmh_pk,nmh_identity
myscr.sql,ovhd,ovhd_pk,ovh_identity
myscr.sql,ovma,ovma_pk,ovm_identity
myscr.sql,ovpr,ovpr_pk,ovp_identity
myscr.sql,rzmt,rzmt_pk,rmt_identity
myscr.sql,scac,scac_pk,src_identity
myscr.sql,sorc,sorc_pk,src_identity
myscr.sql,tjhz,tjhz_pk,tjz_identity
myscr.sql,acti,acti_pk,act_identity
myscr.sql,acts,acts_pk,acs_identity
myscr.sql,bgml,bgml_pk,bgm_identity
myscr.sql,bmac,bmac_pk,bgm_identity
myscr.sql,fhbh,fhbh_pk,fbh_identity
myscr.sql,fhpy,fhpy_pk,fhp_identity
myscr.sql,fspy,fspy_pk,fsp_identity
myscr.sql,hmpy,hmpy_pk,hmp_identity
myscr.sql,khmt,khmt_pk,kmt_identity
myscr.sql,kmac,kmac_pk,kmt_identity
myscr.sql,mogs,mogs_pk,mog_identity
myscr.sql,nmac,nmac_pk,nmh_identity
myscr.sql,nmmh,nmmh_pk,nmh_identity
myscr.sql,rzmt,rzmt_pk,rmt_identity
myscr.sql,scac,scac_pk,src_identity
myscr.sql,situ,situ_pk,stu_identity
myscr.sql,sorc,sorc_pk,src_identity
myscr.sql,ader,column_pk,adr_id
myscr.sql,dstb,dsb_pk,dsb_id
myscr.sql,fhbh,fhbh_pk,fbh_id
myscr.sql,fsbs,fsbs_pk,fsb_id
myscr.sql,fsbz,fsbz_pk,fsb_id
myscr.sql,hmbs,hmb_pk,hmb_id
myscr.sql,nmmhb,nmb_pk,nmb_id_main
myscr.sql,pyfs,pyfs_pk,pfs_id
myscr.sql,shkh1,shkh1_pk,shk_id
myscr.sql,shkh2,shkh2_pk,shk_id
myscr.sql,shkh3,shkh3_pk,shk_id
myscr.sql,sorc_sc,src_sc_pk,src_id_main
myscr.sql,sorc_sn,src_sn_pk,src_id_main
ScriptConst.sql,brv_mult,PK_brv_mult,mlt_link_proj|mlt_nufh|mlt_nuse|mlt_type|mlt_nusv
ScriptConst.sql,brv_mult_acts,PK_brv_mult_acts,mlt_link_proj|mlt_nufh|mlt_nuse|mlt_coac|mlt_type|mlt_nusv
ScriptConst.sql,brv_fhbh,PK_brv_fhbh,fbh_link_proj|fbh_nufh|fbh_nuse|fbh_cofh|fbh_type|fbh_nusv
ScriptConst.sql,brv_bgml,PK_brv_bgml,bgm_link_proj|bgm_nusv|bgm_type|bgm_id
ScriptConst.sql,brv_khmt,PK_khmt,kmt_link_proj|kmt_nusv|kmt_type|kmt_id
ScriptConst.sql,brv_rzmt,PK_brv_rzmt,rmt_link_proj|rmt_nusv|rmt_type|rmt_id
