table,prefix,family_guess,fk_as_child,fk_as_parent,total_fk_touch
brv_type,brv,پروژه/برآورد/صورت‌وضعیت Taksa,2,16,18
brv_situ,brv,پروژه/برآورد/صورت‌وضعیت Taksa,1,16,17
brv_acts,brv,پروژه/برآورد/صورت‌وضعیت Taksa,3,9,12
brv_fhbh,brv,پروژه/برآورد/صورت‌وضعیت Taksa,3,8,11
base_fhbh,base,داده پایه/کدینگ مشترک,3,6,9
atm_Detail_Parts,atm,نامشخص/نیازمند بررسی,3,5,8
base_book,base,داده پایه/کدینگ مشترک,2,5,7
base_unit,base,داده پایه/کدینگ مشترک,0,6,6
brv_fhpy,brv,پروژه/برآورد/صورت‌وضعیت Taksa,2,4,6
brv_mogs,brv,پروژه/برآورد/صورت‌وضعیت Taksa,2,4,6
Pek_detail_property,pek,پایگاه فهرست/پیمان/مدیریت پایه,5,0,5
brv_contract,brv,پروژه/برآورد/صورت‌وضعیت Taksa,0,5,5
brv_grop,brv,پروژه/برآورد/صورت‌وضعیت Taksa,1,4,5
brv_intp,brv,پروژه/برآورد/صورت‌وضعیت Taksa,4,1,5
brv_sorc_all,brv,پروژه/برآورد/صورت‌وضعیت Taksa,3,2,5
Pek_Ostan,pek,پایگاه فهرست/پیمان/مدیریت پایه,0,4,4
atm_Detail_Parts_Project,atm,نامشخص/نیازمند بررسی,2,2,4
base_grop,base,داده پایه/کدینگ مشترک,2,2,4
base_pvst,base,داده پایه/کدینگ مشترک,0,4,4
base_year,base,داده پایه/کدینگ مشترک,1,3,4
brv_Packages_Reports,brv,پروژه/برآورد/صورت‌وضعیت Taksa,3,1,4
brv_dstb,brv,پروژه/برآورد/صورت‌وضعیت Taksa,2,2,4
brv_hmbs,brv,پروژه/برآورد/صورت‌وضعیت Taksa,2,2,4
brv_mult,brv,پروژه/برآورد/صورت‌وضعیت Taksa,2,2,4
brv_sorc,brv,پروژه/برآورد/صورت‌وضعیت Taksa,2,2,4
Atm_Parameters,atm,نامشخص/نیازمند بررسی,1,2,3
Atm_detail,atm,نامشخص/نیازمند بررسی,0,3,3
Pek_detail,pek,پایگاه فهرست/پیمان/مدیریت پایه,2,1,3
Pek_nstp,pek,پایگاه فهرست/پیمان/مدیریت پایه,0,3,3
base_acts,base,داده پایه/کدینگ مشترک,2,1,3
base_fosi,base,داده پایه/کدینگ مشترک,3,0,3
base_fsbs,base,داده پایه/کدینگ مشترک,1,2,3
base_sorc,base,داده پایه/کدینگ مشترک,2,1,3
brv_dstn_main_rzmt,brv,پروژه/برآورد/صورت‌وضعیت Taksa,2,1,3
brv_khmt,brv,پروژه/برآورد/صورت‌وضعیت Taksa,3,0,3
