database,table,prefix,family,ordinal,column,type,nullable,identity,default,raw
faragamara_taksa,Tmp_base_sorc_list,tmp,جدول موقت/تبدیل,1,src_id,int,False,False,,src_id int NOT NULL
faragamara_taksa,Tmp_base_sorc_list,tmp,جدول موقت/تبدیل,2,src_grop,tinyint,False,False,,src_grop tinyint NOT NULL
faragamara_taksa,Tmp_base_sorc_list,tmp,جدول موقت/تبدیل,3,src_dscr,nvarchar(2000),True,False,,src_dscr nvarchar(2000) NULL
faragamara_taksa,Tmp_base_sorc_list,tmp,جدول موقت/تبدیل,4,src_unit,nvarchar(25),False,False,,src_unit nvarchar(25) NOT NULL
faragamara_taksa,Tmp_base_sorc_list,tmp,جدول موقت/تبدیل,5,src_rad,int,True,False,,src_rad int NULL
brv_importer,acti,acti,فعالیت/اکشن,1,act_code,[nvarchar] (4),True,False,,[act_code] [nvarchar] (4) COLLATE Arabic_CI_AS NULL 
brv_importer,acti,acti,فعالیت/اکشن,2,act_name,[nvarchar] (200),True,False,,[act_name] [nvarchar] (200) COLLATE Arabic_CI_AS NULL 
brv_importer,acti,acti,فعالیت/اکشن,3,act_nmla,[nvarchar] (200),True,False,,[act_nmla] [nvarchar] (200) COLLATE Arabic_CI_AS NULL 
brv_importer,acti,acti,فعالیت/اکشن,4,act_rad,[smallint],True,False,,[act_rad] [smallint] NULL 
brv_importer,acti,acti,فعالیت/اکشن,5,act_nufh,[tinyint],True,False,,[act_nufh] [tinyint] NULL 
brv_importer,acti,acti,فعالیت/اکشن,6,act_engl,[ntext],True,False,,[act_engl] [ntext] COLLATE Arabic_CI_AS NULL 
brv_importer,acti,acti,فعالیت/اکشن,7,act_fars,[ntext],True,False,,[act_fars] [ntext] COLLATE Arabic_CI_AS NULL 
brv_importer,acti,acti,فعالیت/اکشن,8,act_unla,[nvarchar] (50),True,False,,[act_unla] [nvarchar] (50) COLLATE Arabic_CI_AS NULL 
brv_importer,acti,acti,فعالیت/اکشن,9,act_unit,[nvarchar] (50),True,False,,[act_unit] [nvarchar] (50) COLLATE Arabic_CI_AS NULL 
brv_importer,acti,acti,فعالیت/اکشن,10,act_type,[smallint],True,False,,[act_type] [smallint] NULL 
