name_key,actual_xml_table,scriptxml_table,status,actual_row_count,actual_field_count,script_column_count,script_family
base_acts_unit,base_acts_unit,base_acts_unit,both,203,3,1,داده پایه/کدینگ مشترک
base_intpvaziat,base_IntpVaziat,,actual_only,3,2,,
base_itemtype,Base_ItemType,,actual_only,6,5,,
base_months,Base_Months,,actual_only,13,2,,
base_personalitytyp,base_PersonalityTyp,,actual_only,7,5,,
base_shakhestype,base_ShakhesType,,actual_only,2,2,,
base_tajhztype,base_TajhzType,,actual_only,4,2,,
base_tyun,base_tyun,base_tyun,both,8,3,2,داده پایه/کدینگ مشترک
base_unit,base_unit,base_unit,both,1802,3,1,داده پایه/کدینگ مشترک
base_zrtj,base_zrtj,base_zrtj,both,18,3,1,داده پایه/کدینگ مشترک
basebarcode,BaseBarcode,,actual_only,1000,5,,
basesitunoe,BaseSituNoe,,actual_only,3,3,,
brv_acts,brv_acts,brv_acts,both,122,30,39,پروژه/برآورد/صورت‌وضعیت Taksa
brv_acts_items,,brv_acts_items,script_only,0,0,9,پروژه/برآورد/صورت‌وضعیت Taksa
brv_ader,brv_ader,brv_ader,both,4411,12,13,پروژه/برآورد/صورت‌وضعیت Taksa
brv_ahta,brv_ahta,brv_ahta,both,781,46,39,پروژه/برآورد/صورت‌وضعیت Taksa
brv_arzkosoorat,brv_Arzkosoorat,,actual_only,186,9,,
brv_bgml,brv_bgml,brv_bgml,both,2122,32,53,پروژه/برآورد/صورت‌وضعیت Taksa
brv_color,brv_color,,actual_only,16,6,,
brv_contract,brv_contract,brv_contract,both,1,161,171,پروژه/برآورد/صورت‌وضعیت Taksa
brv_documents,,brv_documents,script_only,0,0,8,پروژه/برآورد/صورت‌وضعیت Taksa
brv_dstb,brv_dstb,brv_dstb,both,1297,16,16,پروژه/برآورد/صورت‌وضعیت Taksa
brv_dstn_fromto,brv_dstn_fromto,brv_dstn_fromto,both,122,16,18,پروژه/برآورد/صورت‌وضعیت Taksa
brv_dstn_fromto_rzmt,brv_dstn_fromto_rzmt,brv_dstn_fromto_rzmt,both,66,17,19,پروژه/برآورد/صورت‌وضعیت Taksa
brv_dstn_main,brv_dstn_main,brv_dstn_main,both,960,10,10,پروژه/برآورد/صورت‌وضعیت Taksa
brv_dstn_main_rzmt,brv_dstn_main_rzmt,brv_dstn_main_rzmt,both,28652,11,11,پروژه/برآورد/صورت‌وضعیت Taksa
brv_elhagh,brv_elhagh,brv_elhagh,both,1,5,8,پروژه/برآورد/صورت‌وضعیت Taksa
brv_fhbh,brv_fhbh,brv_fhbh,both,5116,29,37,پروژه/برآورد/صورت‌وضعیت Taksa
brv_fhpy,brv_fhpy,brv_fhpy,both,183,286,322,پروژه/برآورد/صورت‌وضعیت Taksa
