order,table,prefix,row_count,field_count,avg_fields_per_row,first_fields,all_fields
1,BaseSituNoe,BaseSituNoe,3,3,3.0,Id|StnCode|StnName,Id|StnCode|StnName
2,base_PersonalityTyp,base,7,5,5.0,pty_id|pty_Name|pty_isSystem|PtyOrder|ptyShow,pty_id|pty_Name|pty_isSystem|PtyOrder|ptyShow
3,BaseBarcode,BaseBarcode,1000,5,5.0,Id|IsActive|OrderBbc|BbcCode|BbcName,Id|IsActive|OrderBbc|BbcCode|BbcName
4,base_TajhzType,base,4,2,2.0,tjt_id|tjt_name,tjt_id|tjt_name
5,Base_Months,Base,13,2,2.0,mon_id|mon_name,mon_id|mon_name
6,base_ShakhesType,base,2,2,2.0,Sht_id|Sht_Name,Sht_id|Sht_Name
7,Base_ItemType,Base,6,5,4.0,Ity_id|Ity_name|Ity_Code|ity_Summ|Ity_ShowInList,Ity_id|Ity_name|Ity_Code|ity_Summ|Ity_ShowInList
8,base_unit,base,1802,3,2.23,unt_id|unt_unit|unt_rad,unt_id|unt_unit|unt_rad
9,base_tyun,base,8,3,3.0,tyn_id|tyn_tyun|tyn_tyun_vb6,tyn_id|tyn_tyun|tyn_tyun_vb6
10,base_zrtj,base,18,3,3.0,zrt_id|zrt_rad|zrt_zrpr,zrt_id|zrt_rad|zrt_zrpr
11,base_IntpVaziat,base,3,2,2.0,itv_id|itv_Name,itv_id|itv_Name
12,brv_color,brv,16,6,6.0,col_name_far|col_rad|col_name_eng|col_red|col_green|col_blue,col_name_far|col_rad|col_name_eng|col_red|col_green|col_blue
13,base_acts_unit,base,203,3,2.16,acu_unit_id|acu_unit|acu_rad,acu_unit_id|acu_unit|acu_rad
