table,row_count,field_count,web_family,roundtrip_priority
BaseSituNoe,3,3,داده پایه/کدینگ/ثابت‌ها,HIGH
base_PersonalityTyp,7,5,داده پایه/کدینگ/ثابت‌ها,HIGH
BaseBarcode,1000,5,داده پایه/کدینگ/ثابت‌ها,HIGH
base_TajhzType,4,2,داده پایه/کدینگ/ثابت‌ها,HIGH
Base_Months,13,2,داده پایه/کدینگ/ثابت‌ها,HIGH
base_ShakhesType,2,2,داده پایه/کدینگ/ثابت‌ها,HIGH
Base_ItemType,6,5,داده پایه/کدینگ/ثابت‌ها,HIGH
base_unit,1802,3,داده پایه/کدینگ/ثابت‌ها,HIGH
base_tyun,8,3,داده پایه/کدینگ/ثابت‌ها,HIGH
base_zrtj,18,3,داده پایه/کدینگ/ثابت‌ها,HIGH
base_IntpVaziat,3,2,داده پایه/کدینگ/ثابت‌ها,HIGH
brv_color,16,6,رنگ/نمایش,HIGH
base_acts_unit,203,3,داده پایه/کدینگ/ثابت‌ها,HIGH
brv_contract,1,161,قرارداد/پروژه,HIGH
brv_elhagh,1,5,الحاقیه,HIGH
brv_type,3,11,طرف‌ها/نقش‌ها,HIGH
brv_situ,21,6,صورت‌وضعیت/دوره,HIGH
brv_intp,7,24,شاخص/درون‌یابی/تعدیل,HIGH
brv_kosorat,360,10,کسورات,HIGH
brv_ahta,781,46,آحاد/تعدیل,HIGH
brv_acts,122,30,فعالیت‌ها,HIGH
brv_type_situ,33,41,طرف‌ها/نقش‌ها,HIGH
brv_fhpy,183,286,فهرست‌بها/فصل‌بندی,HIGH
brv_mult,6705,198,ضرایب,HIGH
brv_grop,1830,10,گروه‌بندی,HIGH
brv_mogs,954,14,مقادیر/محاسبات,HIGH
brv_fhbh,5116,29,فهرست‌بها/فصل‌بندی,HIGH
brv_rzmt,8551,37,ریزمتره,HIGH
brv_ader,4411,12,آیتم/افزوده/ردیف‌های مرتبط,HIGH
brv_khmt,7726,22,کارکرد/خدمات,HIGH
brv_bgml,2122,32,برگه مالی,HIGH
brv_hmbs,757,18,همبستگی/محاسبات,HIGH
brv_dstb,1297,16,حمل/فاصله,HIGH
brv_hmpy,711,11,حمل/فاصله/همپایگی,HIGH
brv_hmpy_rzmt,3382,12,حمل/فاصله/همپایگی,HIGH
brv_dstn_main,960,10,حمل/فاصله,HIGH
brv_dstn_fromto,122,16,حمل/فاصله,HIGH
brv_dstn_main_rzmt,28652,11,حمل/فاصله,HIGH
brv_dstn_fromto_rzmt,66,17,حمل/فاصله,HIGH
brv_sorc_all,155,12,منابع/سورس/جمع‌بندی,HIGH
brv_sorc,155,9,منابع/سورس/جمع‌بندی,HIGH
brv_nmmhb,155,15,منابع/نام‌ها/کدینگ,HIGH
brv_Jobrankosoorat,186,9,جبران/کسورات,HIGH
brv_Arzkosoorat,186,9,جبران ارز/کسورات ارزی,HIGH
brv_Tadilkosorat,192,9,تعدیل/کسورات تعدیل,HIGH
