name_key,actual_xml_table,script_xml_tag,target_table,status,actual_row_count,actual_field_count,script_column_count,script_warning
base_acts_unit,base_acts_unit,base_acts_unit,base_acts_unit,both_exact,203,3,1,
base_intpvaziat,base_IntpVaziat,,,actual_only,3,2,0,
base_itemtype,Base_ItemType,,,actual_only,6,5,0,
base_months,Base_Months,,,actual_only,13,2,0,
base_personalitytyp,base_PersonalityTyp,,,actual_only,7,5,0,
base_shakhestype,base_ShakhesType,,,actual_only,2,2,0,
base_tajhztype,base_TajhzType,,,actual_only,4,2,0,
base_tyun,base_tyun,base_tyun,base_tyun,both_exact,8,3,2,
base_unit,base_unit,base_unit,base_unit,both_exact,1802,3,1,
base_zrtj,base_zrtj,base_zrtj,base_zrtj,both_exact,18,3,1,
basebarcode,BaseBarcode,,,actual_only,1000,5,0,
basesitunoe,BaseSituNoe,,,actual_only,3,3,0,
brv_acts,brv_acts,brv_acts,brv_acts,both_exact,122,30,39,
brv_acts_items,,brv_acts_items,brv_acts_items,script_only,0,0,9,
brv_ader,brv_ader,brv_ader,brv_ader,both_exact,4411,12,13,
brv_ahta,brv_ahta,brv_ahta,brv_ahta,both_exact,781,46,39,
brv_arzkosoorat,brv_Arzkosoorat,,,actual_only,186,9,0,
brv_bgml,brv_bgml,brv_bgml,brv_bgml,both_exact,2122,32,53,xml path has leading/trailing space
brv_color,brv_color,,,actual_only,16,6,0,
brv_contract,brv_contract,brv_contract,brv_contract,both_exact,1,161,171,
brv_documents,,brv_documents,brv_documents,script_only,0,0,8,
brv_dstb,brv_dstb,brv_dstb,brv_dstb,both_exact,1297,16,16,
brv_dstn_fromto,brv_dstn_fromto,brv_dstn_fromto,brv_dstn_fromto,both_exact,122,16,18,
brv_dstn_fromto_rzmt,brv_dstn_fromto_rzmt,brv_dstn_fromto_rzmt,brv_dstn_fromto_rzmt,both_exact,66,17,19,
brv_dstn_main,brv_dstn_main,brv_dstn_main,brv_dstn_main,both_exact,960,10,10,
brv_dstn_main_rzmt,brv_dstn_main_rzmt,brv_dstn_main_rzmt,brv_dstn_main_rzmt,both_exact,28652,11,11,
brv_elhagh,brv_elhagh,brv_elhagh,brv_elhagh,both_exact,1,5,8,
brv_fhbh,brv_fhbh,brv_fhbh,brv_fhbh,both_exact,5116,29,37,
brv_fhpy,brv_fhpy,brv_fhpy,brv_fhpy,both_exact,183,286,322,
brv_fhpy_acts,,brv_fhpy_Acts,brv_fhpy_Acts,script_only,0,0,187,
brv_fspy,,brv_fspy,brv_fspy,script_only,0,0,29,
brv_grop,brv_grop,brv_grop,brv_grop,both_exact,1830,10,7,
brv_hmbs,brv_hmbs,brv_hmbs,brv_hmbs,both_exact,757,18,19,
brv_hmpy,brv_hmpy,brv_hmpy,brv_hmpy,both_exact,711,11,11,
brv_hmpy_rzmt,brv_hmpy_rzmt,brv_hmpy_rzmt,brv_hmpy_rzmt,both_exact,3382,12,12,
brv_intp,brv_intp,brv_intp,brv_intp,both_exact,7,24,16,
brv_jobrankosoorat,brv_Jobrankosoorat,,,actual_only,186,9,0,
brv_khmt,brv_khmt,brv_khmt,brv_khmt,both_exact,7726,22,29,
brv_kosorat,brv_kosorat,brv_kosorat,brv_kosorat,both_exact,360,10,9,
brv_mogs,brv_mogs,brv_mogs,brv_mogs,both_exact,954,14,24,
brv_mult,brv_mult,brv_mult,brv_mult,both_exact,6705,198,295,
brv_mult_acts,,brv_mult_acts,brv_mult_acts,script_only,0,0,171,
brv_nmmhb,brv_nmmhb,brv_nmmhb,brv_nmmhb,both_exact,155,15,15,
brv_ovhd,,brv_ovhd,brv_ovhd,script_only,0,0,9,
brv_ovma,,brv_ovma,brv_ovma,script_only,0,0,18,
brv_ovpr,,brv_ovpr,brv_ovpr,script_only,0,0,11,
brv_ovtj,,brv_ovtj,brv_ovtj,script_only,0,0,11,
brv_prodecessors,,brv_Prodecessors,brv_Prodecessors,script_only,0,0,6,
brv_report_history,,brv_report_history,brv_report_history,script_only,0,0,4,
brv_rzmt,brv_rzmt,brv_rzmt,brv_rzmt,both_exact,8551,37,58,
brv_situ,brv_situ,brv_situ,brv_situ,both_exact,21,6,4,
brv_sorc,brv_sorc,brv_sorc,brv_sorc,both_exact,155,9,46,
brv_sorc_acts,,brv_sorc_acts,brv_sorc_acts,script_only,0,0,41,
brv_sorc_all,brv_sorc_all,brv_sorc_all,brv_sorc_all,both_exact,155,12,19,xml path has leading/trailing space
brv_sorc_price,,brv_sorc_price,brv_sorc_price,script_only,0,0,15,
brv_tadilkosorat,brv_Tadilkosorat,brv_TadilKosorat,brv_TadilKosorat,both_case_diff,192,9,9,
brv_takhir_svz,,brv_takhir_svz,brv_takhir_svz,script_only,0,0,17,
brv_takhir_ve,,brv_takhir_ve,brv_takhir_ve,script_only,0,0,6,
brv_tatbigh,,brv_tatbigh,brv_tatbigh,script_only,0,0,10,
brv_tonl,,brv_tonl,brv_tonl,script_only,0,0,8,
brv_type,brv_type,brv_type,brv_type,both_exact,3,11,10,
brv_type_situ,brv_type_situ,brv_type_situ,brv_type_situ,both_exact,33,41,49,
brv_zrtb,,brv_zrtb,brv_zrtb,script_only,0,0,10,
