import_order,target_table,xml_path_in_script,xml_tag_in_script,xml_tag_stripped,script_column_count,script_columns,warning
1,base_unit,/NewDataSet/base_unit,base_unit,base_unit,1,unt_unit,
2,base_tyun,/NewDataSet/base_tyun,base_tyun,base_tyun,2,tyn_tyun|tyn_tyun_vb6,
3,base_zrtj,/NewDataSet/base_zrtj,base_zrtj,base_zrtj,1,zrt_zrpr,
4,base_acts_unit,/NewDataSet/base_acts_unit,base_acts_unit,base_acts_unit,1,acu_unit,
5,brv_contract,/NewDataSet/brv_contract,brv_contract,brv_contract,171,ctc_id|ctc_project_type|ctc_archive|ctc_copj|ctc_rad|ctc_nmpj|ctc_yrfh|ctc_parent|ctc_nmcs|ctc_nmct|ctc_nmci|ctc_Etebar_Omomi|ctc_acon|ctc_tdil|ctc_tdil_psn|ctc_tdnr|ctc_tdty|ctc_prbs|ctc_yrbd|ctc_prja|ctc_yrja|ctc_prbs_svz|ctc_yrbd_svz|ctc_ShEb_Yr|ctc_ShEb_Sm|ctc_End_brv|ctc_N|ctc_onta|ctc_cota|ctc_onpj|ctc_coon|ctc_sand|ctc_sand_svz|ctc_sand_psn|ctc_madk|ctc_pric|ctc_dtbv|ctc_neza|ctc_mont|ctc_days|ctc_area|ctc_plpj|ctc_mjta|ctc_rsmo|ctc_mota|ctc_etmo|ctc_dscr|ctc_islast|mog_zrib1_tit|mog_zrib2_tit|mog_zrib3_tit|ctc_AnalyzeType|ctc_AnalyzeAll|ctc_AnalyzeNote|ctc_IsLocked|ctc_Pass_Lock|ctc_User_Lock|ctc_sum_nozoli|ctc_sum_favorit|ctc_65|ctc_type_tjhz|ctc_dife_zarib|ctc_difeN_zarib|ctc_rzmt_tgnu|ctc_rzmt_tgtl|ctc_rzmt_tgaz|ctc_rzmt_tght|ctc_rzmt_tgwg|ctc_rzmt_tgjz|ctc_rzmt_tgjk|ctc_khmt_tgjz|ctc_khmt_tgjr|ctc_khmt_tgjk|ctc_khmt_tgmo_k123|ctc_khmt_tgmo|ctc_bgml_brqn|ctc_bgml_dnqn|ctc_bgml_dnpr|ctc_bgml_pcun|ctc_bgml_65_pcun|ctc_bgml_wgpr|ctc_bgml_roshd|ctc_seas_wgpr|ctc_seas_dnpr|ctc_note_wgpr|ctc_note_dnpr|ctc_haml_kzrb|ctc_haml_tzrb|ctc_haml_quan|ctc_haml_tgjm|ctc_dist_dist|ctc_dist_i|ctc_fosi_quan|ctc_fosi_pert|ctc_fosi_nrkh|ctc_fosi_sal|ctc_fosi_ksrt|ctc_anab_wgpr|ctc_anab_quan|ctc_anab_pcun|ctc_anab_zrib|ctc_anab_pcal|ctc_anab_zrib_ralc|ctc_anab_grpr|ctc_sorc_pcun|ctc_sorc_quan|ctc_sorc_wgpr|ctc_acts_phpr|ctc_acts_dnpr|ctc_acts_wgpr|ctc_acts_pcun|ctc_acts_quan|ctc_acts_zrib__|ctc_acts_quan_sorc|ctc_acts_wgpr_sorc|ctc_koli_pcal|ctc_koli_pcun|ctc_koli_quan|ctc_act_type|ctc_pic_sarbarg|ctc_pic_sarbargP|ctc_pic_arm|ctc_pic_status|ctc_haml_from|ctc_zrtb|ctc_hgnb|ctc_heit|ctc_level|ctc_total_rad|ctc_numb|ctc_dtct|ctc_dtst|ctc_timh|ctc_tidy|ctc_timp|ctc_tidp|ctc_pric_prim|ctc_dend|ctc_pctj|ctc_rpt_khzr|ctc_rpt_wp_type|ctc_rpt_item|ctc_dtpi_dife|ctc_pric_psn|ctc_signatue_exist|ctc_mosh_time|ctc_mojz_time|ctc_pymn_period|ctc_tjhz_sx|ctc_tjhz_fc|ctc_tjhz_mp|ctc_fmul_tjhz|shk_pd_j|shk_pd_m|ctc_price_tdil_brv|ctc_price10000|ctc_price_act|ctc_ProjectCreator|ctc_Description|ctc_ProjectManager|ctc_prja_astr|ctc_yrja_astr|ctc_prmb_astr|ctc_yrmb_astr|ctc_IsCalc_RshdAstr|ctc_TeamWork|ctc_Is76574|ctc_conc|ctc_CheckCodeAmel|ctc_atm_tg_pr|ctc_analyse_year,
6,brv_report_history,/NewDataSet/brv_report_history,brv_report_history,brv_report_history,4,rph_link_proj|rph_link_report|rph_Application|rph_date,
7,brv_type,/NewDataSet/brv_type,brv_type,brv_type,10,typ_link_proj|typ_id|typ_rad|typ_name|typ_color_name_far|typ_name_delegate|typ_signatue_delegate|typ_PrintSignature|typ_sum_work_ol_z|typ_sum_tdil,
8,brv_situ,/NewDataSet/brv_situ,brv_situ,brv_situ,4,stu_link_proj|stu_id|stu_rad|stu_numb,
9,brv_elhagh,/NewDataSet/brv_elhagh,brv_elhagh,brv_elhagh,8,elh_link_proj|elh_id|elh_rad|elh_dscr|elh_price|elh_date|elh_month|elh_day,
10,brv_takhir_ve,/NewDataSet/brv_takhir_ve,brv_takhir_ve,brv_takhir_ve,6,ve_link_proj|ve_id|ve_rad|ve_desc|ve_abst|ve_fmul,
