table,type,role_name,nusv,row_count
brv_intp,0,پیمانکار,2,2
brv_intp,0,پیمانکار,1,1
brv_intp,1,مشاور,1,1
brv_intp,0,پیمانکار,3,1
brv_intp,0,پیمانکار,7,1
brv_intp,1,مشاور,18,1
brv_kosorat,0,پیمانکار,1,6
brv_kosorat,1,مشاور,1,6
brv_kosorat,2,کارفرما,1,6
brv_kosorat,0,پیمانکار,2,6
brv_kosorat,1,مشاور,2,6
brv_kosorat,2,کارفرما,2,6
brv_kosorat,0,پیمانکار,3,6
brv_kosorat,1,مشاور,3,6
brv_kosorat,2,کارفرما,3,6
brv_kosorat,0,پیمانکار,4,6
brv_kosorat,1,مشاور,4,6
brv_kosorat,2,کارفرما,4,6
brv_kosorat,0,پیمانکار,5,6
brv_kosorat,1,مشاور,5,6
brv_kosorat,2,کارفرما,5,6
brv_kosorat,0,پیمانکار,6,6
brv_kosorat,1,مشاور,6,6
brv_kosorat,2,کارفرما,6,6
brv_kosorat,0,پیمانکار,7,6
brv_kosorat,1,مشاور,7,6
brv_kosorat,2,کارفرما,7,6
brv_kosorat,0,پیمانکار,8,6
brv_kosorat,1,مشاور,8,6
brv_kosorat,2,کارفرما,8,6
brv_kosorat,0,پیمانکار,10,6
brv_kosorat,1,مشاور,10,6
brv_kosorat,2,کارفرما,10,6
brv_kosorat,0,پیمانکار,11,6
brv_kosorat,1,مشاور,11,6
brv_kosorat,2,کارفرما,11,6
brv_kosorat,0,پیمانکار,12,6
brv_kosorat,1,مشاور,12,6
brv_kosorat,2,کارفرما,12,6
brv_kosorat,0,پیمانکار,14,6
brv_kosorat,1,مشاور,14,6
brv_kosorat,2,کارفرما,14,6
brv_kosorat,0,پیمانکار,15,6
brv_kosorat,1,مشاور,15,6
brv_kosorat,2,کارفرما,15,6
brv_kosorat,0,پیمانکار,16,6
brv_kosorat,1,مشاور,16,6
brv_kosorat,2,کارفرما,16,6
brv_kosorat,0,پیمانکار,17,6
brv_kosorat,1,مشاور,17,6
brv_kosorat,2,کارفرما,17,6
brv_kosorat,0,پیمانکار,18,6
brv_kosorat,1,مشاور,18,6
brv_kosorat,2,کارفرما,18,6
brv_kosorat,0,پیمانکار,19,6
brv_kosorat,1,مشاور,19,6
brv_kosorat,2,کارفرما,19,6
brv_kosorat,0,پیمانکار,20,6
brv_kosorat,1,مشاور,20,6
brv_kosorat,2,کارفرما,20,6
brv_kosorat,0,پیمانکار,21,6
brv_kosorat,1,مشاور,21,6
brv_kosorat,2,کارفرما,21,6
brv_kosorat,0,پیمانکار,22,6
brv_kosorat,1,مشاور,22,6
brv_kosorat,2,کارفرما,22,6
brv_ahta,0,پیمانکار,2,222
brv_ahta,1,مشاور,18,114
brv_ahta,0,پیمانکار,7,112
brv_ahta,0,پیمانکار,1,111
brv_ahta,1,مشاور,1,111
brv_ahta,0,پیمانکار,3,111
brv_fhpy,0,پیمانکار,0,3
brv_fhpy,0,پیمانکار,1,3
brv_fhpy,0,پیمانکار,2,3
brv_fhpy,0,پیمانکار,3,3
brv_fhpy,0,پیمانکار,4,3
brv_fhpy,0,پیمانکار,5,3
brv_fhpy,0,پیمانکار,6,3
brv_fhpy,0,پیمانکار,7,3
brv_fhpy,0,پیمانکار,8,3
brv_fhpy,0,پیمانکار,10,3
brv_fhpy,0,پیمانکار,11,3
brv_fhpy,0,پیمانکار,12,3
brv_fhpy,0,پیمانکار,14,3
brv_fhpy,0,پیمانکار,15,3
brv_fhpy,0,پیمانکار,16,3
brv_fhpy,0,پیمانکار,17,3
brv_fhpy,0,پیمانکار,18,3
brv_fhpy,0,پیمانکار,19,3
brv_fhpy,0,پیمانکار,20,3
brv_fhpy,0,پیمانکار,21,3
brv_fhpy,0,پیمانکار,22,3
brv_fhpy,1,مشاور,1,3
brv_fhpy,1,مشاور,2,3
brv_fhpy,1,مشاور,3,3
brv_fhpy,1,مشاور,4,3
brv_fhpy,1,مشاور,5,3
brv_fhpy,1,مشاور,6,3
brv_fhpy,1,مشاور,7,3
brv_fhpy,1,مشاور,8,3
brv_fhpy,1,مشاور,10,3
brv_fhpy,1,مشاور,11,3
brv_fhpy,1,مشاور,12,3
brv_fhpy,1,مشاور,14,3
brv_fhpy,1,مشاور,15,3
brv_fhpy,1,مشاور,16,3
brv_fhpy,1,مشاور,17,3
brv_fhpy,1,مشاور,18,3
brv_fhpy,1,مشاور,19,3
brv_fhpy,1,مشاور,20,3
brv_fhpy,1,مشاور,21,3
brv_fhpy,1,مشاور,22,3
brv_fhpy,2,کارفرما,1,3
brv_fhpy,2,کارفرما,2,3
brv_fhpy,2,کارفرما,3,3
brv_fhpy,2,کارفرما,4,3
brv_fhpy,2,کارفرما,5,3
brv_fhpy,2,کارفرما,6,3
brv_fhpy,2,کارفرما,7,3
brv_fhpy,2,کارفرما,8,3
brv_fhpy,2,کارفرما,10,3
brv_fhpy,2,کارفرما,11,3
brv_fhpy,2,کارفرما,12,3
brv_fhpy,2,کارفرما,14,3
brv_fhpy,2,کارفرما,15,3
brv_fhpy,2,کارفرما,16,3
brv_fhpy,2,کارفرما,17,3
brv_fhpy,2,کارفرما,18,3
brv_fhpy,2,کارفرما,19,3
brv_fhpy,2,کارفرما,20,3
brv_fhpy,2,کارفرما,21,3
brv_fhpy,2,کارفرما,22,3
brv_mult,0,پیمانکار,17,112
brv_mult,0,پیمانکار,18,112
brv_mult,0,پیمانکار,19,112
brv_mult,0,پیمانکار,20,112
brv_mult,0,پیمانکار,21,112
brv_mult,0,پیمانکار,22,112
brv_mult,1,مشاور,17,112
brv_mult,1,مشاور,18,112
brv_mult,1,مشاور,19,112
brv_mult,1,مشاور,20,112
brv_mult,1,مشاور,21,112
brv_mult,0,پیمانکار,12,111
brv_mult,0,پیمانکار,14,111
brv_mult,0,پیمانکار,15,111
brv_mult,0,پیمانکار,16,111
brv_mult,1,مشاور,12,111
brv_mult,1,مشاور,14,111
brv_mult,1,مشاور,16,111
brv_mult,0,پیمانکار,5,110
brv_mult,0,پیمانکار,6,110
brv_mult,0,پیمانکار,7,110
brv_mult,0,پیمانکار,8,110
brv_mult,0,پیمانکار,10,110
