role_type,role_name,nusv,date,previous_nusv,previous_type,mbsv,mbtd_sum,locked,selected
0,پیمانکار,0,1403/04/30,,,,,false,true
0,پیمانکار,1,1403/05/10,0,0,155598392969.0000,0.0000,false,true
0,پیمانکار,2,1403/07/30,1,0,176246140390.0000,0.0000,false,true
0,پیمانکار,3,1403/08/30,2,0,484371294651.0000,0.0000,false,true
0,پیمانکار,4,1403/09/30,3,0,865331418633.0000,,false,true
0,پیمانکار,5,1403/10/30,4,0,1777143969908.0000,,false,true
0,پیمانکار,6,1403/11/30,5,0,2197458410725.0000,,false,true
0,پیمانکار,7,1404/01/01,6,0,2336614325797.0000,38266059793.0000,false,true
0,پیمانکار,8,1404/02/01,7,0,2406622895664.4000,,false,true
0,پیمانکار,10,1404/03/01,8,0,2569377658265.0800,,false,true
0,پیمانکار,11,1404/04/01,10,0,2534803482335.9200,,false,true
0,پیمانکار,12,1404/05/01,11,0,2583912119551.4800,,false,true
0,پیمانکار,14,1404/06/01,12,0,2787739987374.6800,,false,true
0,پیمانکار,15,1404/07/01,14,0,2833178955073.1200,,false,true
0,پیمانکار,16,1404/08/01,15,0,3277179940749.6000,,false,true
0,پیمانکار,17,1404/09/01,16,0,3897373959860.9600,,false,true
0,پیمانکار,18,1404/10/01,17,0,4675215543449.9200,,false,true
0,پیمانکار,19,1404/10/30,18,0,4789831377219.5200,,false,true
0,پیمانکار,20,,19,0,3337243880988.7200,,,
0,پیمانکار,21,1405/01/01,20,0,3335819142488.3200,,,
0,پیمانکار,22,1405/02/31,21,0,3349014193697.9200,,,
1,مشاور,1,1403/05/10,0,0,126098544214.0000,0.0000,false,true
1,مشاور,8,1404/01/31,7,0,1568353908037.2800,,false,true
1,مشاور,10,1404/03/31,8,1,1736660827881.1200,,false,true
1,مشاور,11,1404/03/01,10,1,1818770035478.3200,,false,true
1,مشاور,12,1404/05/01,11,1,2583912119551.4800,,false,true
1,مشاور,14,1404/05/31,12,1,2081371651106.8400,,false,true
1,مشاور,16,1404/07/30,15,0,3277179940749.6000,,false,true
1,مشاور,17,1404/08/30,16,1,3585307682852.0000,,false,true
1,مشاور,18,1404/09/30,17,1,3917324146086.8500,229677269561.0000,false,true
1,مشاور,19,1404/10/30,18,1,4422008973150.2200,,false,true
1,مشاور,20,,19,1,3120901432506.0000,,false,true
1,مشاور,21,,20,1,3233152860421.1300,,false,true
