grid_name,module_family,column_order,name,data_property,header_text,cell_type,width,minimum_width,alignment,visible,readonly,sort_mode,tooltip,auto_size
Zrpy_brv_norm,برآورد,1,mlt_rad,mlt_rad,ردیف,DataGridViewTextBoxColumn,37,30,MiddleCenter,,,,,
Zrpy_brv_norm,برآورد,2,mlt_Prnuse,mlt_Prnuse,فصل پایه,DataGridViewTextBoxColumn,40,30,MiddleCenter,False,,Programmatic,,
Zrpy_brv_norm,برآورد,3,mlt_nuse,mlt_nuse,فصل,DataGridViewTextBoxColumn,40,30,MiddleCenter,,,Programmatic,,
Zrpy_brv_norm,برآورد,4,mlt_name,mlt_name,شرح فصل,DataGridViewTextBoxColumn,160,,MiddleLeft,,,,,Fill
Zrpy_brv_norm,برآورد,5,mlt_SubCount,mlt_SubCount,تعداد زیرفصل,DataGridViewTextBoxColumn,50,40,MiddleCenter,,true,Programmatic,تعداد زیرفصل,None
Zrpy_brv_norm,برآورد,6,mlt_sumz,mlt_sumz,حاصلضرایب,DataGridViewTextBoxColumn,95,,MiddleCenter,,True,,,
Zrpy_brv_norm,برآورد,7,mlt_oth3,mlt_oth3,,DataGridViewTextBoxColumn,60,,MiddleCenter,,,,,
Zrpy_brv_norm,برآورد,8,mlt_oth2,mlt_oth2,,DataGridViewTextBoxColumn,60,,MiddleCenter,,,,,
Zrpy_brv_norm,برآورد,9,mlt_oth1,mlt_oth1,,DataGridViewTextBoxColumn,60,,MiddleCenter,,,,,
Zrpy_brv_norm,برآورد,10,mlt_ovhd,mlt_ovhd,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
Zrpy_brv_norm,برآورد,11,mlt_tatb,mlt_tatb,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
Zrpy_brv_norm,برآورد,12,mlt_hard,mlt_hard,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
Zrpy_brv_norm,برآورد,13,mlt_taba,mlt_taba,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
Zrpy_brv_norm,برآورد,14,mlt_heit,mlt_heit,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
Zrpy_brv_norm,برآورد,15,mlt_loca,mlt_loca,,DataGridViewTextBoxColumn,60,40,MiddleCenter,,,,,
Zrpy_brv_astr,برآورد,1,mlt_rad,mlt_rad,ردیف,DataGridViewTextBoxColumn,37,35,MiddleCenter,,,,,
Zrpy_brv_astr,برآورد,2,mlt_Prnuse,mlt_Prnuse,فصل پایه,DataGridViewTextBoxColumn,40,35,MiddleCenter,False,,Programmatic,,
Zrpy_brv_astr,برآورد,3,mlt_nuse,mlt_nuse,فصل,DataGridViewTextBoxColumn,40,35,MiddleCenter,,,Programmatic,,
Zrpy_brv_astr,برآورد,4,mlt_name,mlt_name,شرح فصل,DataGridViewTextBoxColumn,160,,MiddleLeft,,,,,Fill
Zrpy_brv_astr,برآورد,5,mlt_SubCount,mlt_SubCount,تعداد زیرفصل,DataGridViewTextBoxColumn,50,40,MiddleCenter,,true,Programmatic,تعداد زیرفصل,None
Zrpy_brv_astr,برآورد,6,mlt_sumz_s,mlt_sumz_s,حاصلضرایب,DataGridViewTextBoxColumn,95,,MiddleCenter,,True,,,
Zrpy_brv_astr,برآورد,7,mlt_oth3_s,mlt_oth3_s,,DataGridViewTextBoxColumn,60,,MiddleCenter,,,,,
Zrpy_brv_astr,برآورد,8,mlt_oth2_s,mlt_oth2_s,,DataGridViewTextBoxColumn,60,,MiddleCenter,,,,,
Zrpy_brv_astr,برآورد,9,mlt_oth1_s,mlt_oth1_s,,DataGridViewTextBoxColumn,60,,MiddleCenter,,,,,
Zrpy_brv_astr,برآورد,10,mlt_ovhd_s,mlt_ovhd_s,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
Zrpy_brv_astr,برآورد,11,mlt_tatb_s,mlt_tatb_s,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
Zrpy_brv_astr,برآورد,12,mlt_hard_s,mlt_hard_s,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
Zrpy_brv_astr,برآورد,13,mlt_taba_s,mlt_taba_s,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
Zrpy_brv_astr,برآورد,14,mlt_heit_s,mlt_heit_s,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
Zrpy_brv_astr,برآورد,15,mlt_loca_s,mlt_loca_s,,DataGridViewTextBoxColumn,60,35,MiddleCenter,,,,,
Zrpy_brv_fact,برآورد,1,mlt_rad,mlt_rad,ردیف,DataGridViewTextBoxColumn,37,30,MiddleCenter,,,,,
Zrpy_brv_fact,برآورد,2,mlt_Prnuse,mlt_Prnuse,فصل پایه,DataGridViewTextBoxColumn,40,35,MiddleCenter,False,,Programmatic,,
Zrpy_brv_fact,برآورد,3,mlt_nuse,mlt_nuse,فصل,DataGridViewTextBoxColumn,40,35,MiddleCenter,,,Programmatic,,
Zrpy_brv_fact,برآورد,4,mlt_name,mlt_name,شرح فصل,DataGridViewTextBoxColumn,160,,MiddleLeft,,,,,Fill
Zrpy_brv_fact,برآورد,5,mlt_SubCount,mlt_SubCount,تعداد زیرفصل,DataGridViewTextBoxColumn,50,40,MiddleCenter,,true,Programmatic,تعداد زیرفصل,None
Zrpy_brv_fact,برآورد,6,mlt_sumz_fc,mlt_sumz_fc,حاصلضرایب,DataGridViewTextBoxColumn,95,,MiddleCenter,,True,,,
Zrpy_brv_fact,برآورد,7,mlt_oth3_fc,mlt_oth3_fc,,DataGridViewTextBoxColumn,60,,MiddleCenter,,,,,
Zrpy_brv_fact,برآورد,8,mlt_oth2_fc,mlt_oth2_fc,,DataGridViewTextBoxColumn,60,,MiddleCenter,,,,,
Zrpy_brv_fact,برآورد,9,mlt_oth1_fc,mlt_oth1_fc,,DataGridViewTextBoxColumn,60,,MiddleCenter,,,,,
Zrpy_brv_fact,برآورد,10,mlt_ovhd_fc,mlt_ovhd_fc,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
Zrpy_brv_fact,برآورد,11,mlt_tatb_fc,mlt_tatb_fc,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
Zrpy_brv_fact,برآورد,12,mlt_hard_fc,mlt_hard_fc,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
Zrpy_brv_fact,برآورد,13,mlt_taba_fc,mlt_taba_fc,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
Zrpy_brv_fact,برآورد,14,mlt_heit_fc,mlt_heit_fc,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
Zrpy_brv_fact,برآورد,15,mlt_loca_fc,mlt_loca_fc,,DataGridViewTextBoxColumn,60,40,MiddleCenter,,,,,
zrpy_psn_norm,پیشنهاد / پیمان,1,mlt_rad,mlt_rad,ردیف,DataGridViewTextBoxColumn,37,30,MiddleCenter,,,,,
zrpy_psn_norm,پیشنهاد / پیمان,2,mlt_Prnuse,mlt_Prnuse,فصل پایه,DataGridViewTextBoxColumn,40,30,MiddleCenter,False,,Programmatic,,
zrpy_psn_norm,پیشنهاد / پیمان,3,mlt_nuse,mlt_nuse,فصل,DataGridViewTextBoxColumn,40,35,MiddleCenter,,,Programmatic,,
zrpy_psn_norm,پیشنهاد / پیمان,4,mlt_name,mlt_name,شرح فصل,DataGridViewTextBoxColumn,160,,MiddleLeft,,,,,Fill
zrpy_psn_norm,پیشنهاد / پیمان,5,mlt_SubCount,mlt_SubCount,تعداد زیرفصل,DataGridViewTextBoxColumn,50,40,MiddleCenter,,true,Programmatic,تعداد زیرفصل,None
zrpy_psn_norm,پیشنهاد / پیمان,6,mlt_sumz_psn,mlt_sumz_psn,حاصلضرایب,DataGridViewTextBoxColumn,95,,MiddleCenter,,True,,,
zrpy_psn_norm,پیشنهاد / پیمان,7,mlt_oth3_psn,mlt_oth3_psn,,DataGridViewTextBoxColumn,60,,MiddleCenter,,,,,
zrpy_psn_norm,پیشنهاد / پیمان,8,mlt_oth2_psn,mlt_oth2_psn,,DataGridViewTextBoxColumn,60,,MiddleCenter,,,,,
zrpy_psn_norm,پیشنهاد / پیمان,9,mlt_oth1_psn,mlt_oth1_psn,,DataGridViewTextBoxColumn,60,,MiddleCenter,,,,,
zrpy_psn_norm,پیشنهاد / پیمان,10,mlt_ovhd_psn,mlt_ovhd_psn,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
zrpy_psn_norm,پیشنهاد / پیمان,11,mlt_tatb_psn,mlt_tatb_psn,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
zrpy_psn_norm,پیشنهاد / پیمان,12,mlt_hard_psn,mlt_hard_psn,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
zrpy_psn_norm,پیشنهاد / پیمان,13,mlt_taba_psn,mlt_taba_psn,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
zrpy_psn_norm,پیشنهاد / پیمان,14,mlt_heit_psn,mlt_heit_psn,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
zrpy_psn_norm,پیشنهاد / پیمان,15,mlt_loca_psn,mlt_loca_psn,,DataGridViewTextBoxColumn,60,40,MiddleCenter,,,,,
zrpy_psn_astr,پیشنهاد / پیمان,1,mlt_rad,mlt_rad,ردیف,DataGridViewTextBoxColumn,37,35,MiddleCenter,,,,,
zrpy_psn_astr,پیشنهاد / پیمان,2,mlt_Prnuse,mlt_Prnuse,فصل پایه,DataGridViewTextBoxColumn,40,35,MiddleCenter,False,,Programmatic,,
zrpy_psn_astr,پیشنهاد / پیمان,3,mlt_nuse,mlt_nuse,فصل,DataGridViewTextBoxColumn,40,35,MiddleCenter,,,,,
zrpy_psn_astr,پیشنهاد / پیمان,4,mlt_name,mlt_name,شرح فصل,DataGridViewTextBoxColumn,160,,MiddleLeft,,,Programmatic,,Fill
zrpy_psn_astr,پیشنهاد / پیمان,5,mlt_SubCount,mlt_SubCount,تعداد زیرفصل,DataGridViewTextBoxColumn,50,40,MiddleCenter,,true,Programmatic,تعداد زیرفصل,None
zrpy_psn_astr,پیشنهاد / پیمان,6,mlt_sumz_s_psn,mlt_sumz_s_psn,حاصلضرایب,DataGridViewTextBoxColumn,95,,MiddleCenter,,True,,,
zrpy_psn_astr,پیشنهاد / پیمان,7,mlt_oth3_s_psn,mlt_oth3_s_psn,,DataGridViewTextBoxColumn,60,,MiddleCenter,,,,,
zrpy_psn_astr,پیشنهاد / پیمان,8,mlt_oth2_s_psn,mlt_oth2_s_psn,,DataGridViewTextBoxColumn,60,,MiddleCenter,,,,,
zrpy_psn_astr,پیشنهاد / پیمان,9,mlt_oth1_s_psn,mlt_oth1_s_psn,,DataGridViewTextBoxColumn,60,,MiddleCenter,,,,,
zrpy_psn_astr,پیشنهاد / پیمان,10,mlt_ovhd_s_psn,mlt_ovhd_s_psn,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
zrpy_psn_astr,پیشنهاد / پیمان,11,mlt_tatb_s_psn,mlt_tatb_s_psn,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
zrpy_psn_astr,پیشنهاد / پیمان,12,mlt_hard_s_psn,mlt_hard_s_psn,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
zrpy_psn_astr,پیشنهاد / پیمان,13,mlt_taba_s_psn,mlt_taba_s_psn,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
zrpy_psn_astr,پیشنهاد / پیمان,14,mlt_heit_s_psn,mlt_heit_s_psn,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
zrpy_psn_astr,پیشنهاد / پیمان,15,mlt_loca_s_psn,mlt_loca_s_psn,,DataGridViewTextBoxColumn,60,35,MiddleCenter,,,,,
zrpy_psn_fact,پیشنهاد / پیمان,1,mlt_rad,mlt_rad,ردیف,DataGridViewTextBoxColumn,37,30,MiddleCenter,,,,,
zrpy_psn_fact,پیشنهاد / پیمان,2,mlt_Prnuse,mlt_Prnuse,فصل پایه,DataGridViewTextBoxColumn,40,35,MiddleCenter,False,,Programmatic,,
zrpy_psn_fact,پیشنهاد / پیمان,3,mlt_nuse,mlt_nuse,فصل,DataGridViewTextBoxColumn,40,35,MiddleCenter,,,,,
zrpy_psn_fact,پیشنهاد / پیمان,4,mlt_name,mlt_name,شرح فصل,DataGridViewTextBoxColumn,160,,MiddleLeft,,,Programmatic,,Fill
zrpy_psn_fact,پیشنهاد / پیمان,5,mlt_SubCount,mlt_SubCount,تعداد زیرفصل,DataGridViewTextBoxColumn,50,40,MiddleCenter,,true,Programmatic,تعداد زیرفصل,None
zrpy_psn_fact,پیشنهاد / پیمان,6,mlt_sumz_fc_psn,mlt_sumz_fc_psn,حاصلضرایب,DataGridViewTextBoxColumn,95,,MiddleCenter,,True,,,
zrpy_psn_fact,پیشنهاد / پیمان,7,mlt_oth3_fc_psn,mlt_oth3_fc_psn,,DataGridViewTextBoxColumn,60,,MiddleCenter,,,,,
zrpy_psn_fact,پیشنهاد / پیمان,8,mlt_oth2_fc_psn,mlt_oth2_fc_psn,,DataGridViewTextBoxColumn,60,,MiddleCenter,,,,,
zrpy_psn_fact,پیشنهاد / پیمان,9,mlt_oth1_fc_psn,mlt_oth1_fc_psn,,DataGridViewTextBoxColumn,60,,MiddleCenter,,,,,
zrpy_psn_fact,پیشنهاد / پیمان,10,mlt_ovhd_fc_psn,mlt_ovhd_fc_psn,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
zrpy_psn_fact,پیشنهاد / پیمان,11,mlt_tatb_fc_psn,mlt_tatb_fc_psn,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
zrpy_psn_fact,پیشنهاد / پیمان,12,mlt_hard_fc_psn,mlt_hard_fc_psn,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
zrpy_psn_fact,پیشنهاد / پیمان,13,mlt_taba_fc_psn,mlt_taba_fc_psn,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
zrpy_psn_fact,پیشنهاد / پیمان,14,mlt_heit_fc_psn,mlt_heit_fc_psn,,DataGridViewTextBoxColumn,55,,MiddleCenter,,,,,
zrpy_psn_fact,پیشنهاد / پیمان,15,mlt_loca_fc_psn,mlt_loca_fc_psn,,DataGridViewTextBoxColumn,60,40,MiddleCenter,,,,,
zrpy_svz_karkard_norm,صورت‌وضعیت / کارکرد,1,mlt_rad,mlt_rad,ردیف,DataGridViewTextBoxColumn,35,30,MiddleCenter,,,,,
zrpy_svz_karkard_norm,صورت‌وضعیت / کارکرد,2,mlt_Prnuse,mlt_Prnuse,فصل پایه,DataGridViewTextBoxColumn,40,30,MiddleCenter,False,,Programmatic,,
zrpy_svz_karkard_norm,صورت‌وضعیت / کارکرد,3,mlt_nuse,mlt_nuse,فصل,DataGridViewTextBoxColumn,40,30,MiddleCenter,,,Programmatic,,
zrpy_svz_karkard_norm,صورت‌وضعیت / کارکرد,4,mlt_SubCount,mlt_SubCount,تعداد زیرفصل,DataGridViewTextBoxColumn,50,40,MiddleCenter,,true,Programmatic,تعداد زیرفصل,None
zrpy_svz_karkard_norm,صورت‌وضعیت / کارکرد,5,mlt_sumz,mlt_sumz,حاصلضرایب,DataGridViewTextBoxColumn,160,,MiddleCenter,,True,,,Fill
zrpy_svz_karkard_norm,صورت‌وضعیت / کارکرد,6,mlt_oth3,mlt_oth3,,DataGridViewTextBoxColumn,61,,MiddleCenter,,,,,
zrpy_svz_karkard_norm,صورت‌وضعیت / کارکرد,7,mlt_oth2,mlt_oth2,,DataGridViewTextBoxColumn,61,,MiddleCenter,,,,,
