grid_name,module_family,workflow_role,column_count,visible_columns,hidden_columns,readonly_columns,input_or_calc_columns,headers_sample,data_props_sample,web_ui_recommendation
Ana_ensani,آنالیز بها / منابع,تحلیل عوامل چهارگانه و قیمت منابع,8,8,0,0,4,ردیف | کدعامل | شرح نیروی انسانی | واحد | مقدار | بهای واحد | ضریب | بهای کل,nmb_rad | nmb_code_amel | src_dscr | src_unit | nmb_quan | nmb_zrib,نمای درختی عوامل چهارگانه + کارت قیمت منابع و مقایسه مبنا/آمار/روز
Ana_haml,آنالیز بها / منابع,تحلیل عوامل چهارگانه و قیمت منابع,8,8,0,0,4,ردیف | کدعامل | شرح حمل | واحد | مقدار | بهای واحد | ضریب | بهای کل,nmb_rad | nmb_code_amel | src_dscr | src_unit | nmb_quan | nmb_zrib,نمای درختی عوامل چهارگانه + کارت قیمت منابع و مقایسه مبنا/آمار/روز
Ana_machine,آنالیز بها / منابع,تحلیل عوامل چهارگانه و قیمت منابع,8,8,0,0,4,ردیف | کدعامل | شرح ماشین آلات | واحد | مقدار | بهای واحد | ضریب | بهای کل,nmb_rad | nmb_code_amel | src_dscr | src_unit | nmb_quan | nmb_zrib,نمای درختی عوامل چهارگانه + کارت قیمت منابع و مقایسه مبنا/آمار/روز
Ana_masaleh,آنالیز بها / منابع,تحلیل عوامل چهارگانه و قیمت منابع,8,8,0,0,4,ردیف | کدعامل | شرح مصالح | واحد | مقدار | بهای واحد | ضریب | بهای کل,nmb_rad | nmb_code_amel | src_dscr | src_unit | nmb_quan | nmb_zrib,نمای درختی عوامل چهارگانه + کارت قیمت منابع و مقایسه مبنا/آمار/روز
ana_ensani_4951,آنالیز بها / منابع,تحلیل عوامل چهارگانه و قیمت منابع,8,8,0,0,4,ردیف | کدعامل | شرح نیروی انسانی | واحد | مقدار | بهای واحد | ضریب | بهای کل,nmb_rad | nmb_code_amel | src_dscr | src_unit | nmb_quan | nmb_zrib,نمای درختی عوامل چهارگانه + کارت قیمت منابع و مقایسه مبنا/آمار/روز
ana_haml_4951,آنالیز بها / منابع,تحلیل عوامل چهارگانه و قیمت منابع,8,8,0,0,4,ردیف | کدعامل | شرح حمل | واحد | مقدار | بهای واحد | ضریب | بهای کل,nmb_rad | nmb_code_amel | src_dscr | src_unit | nmb_quan | nmb_zrib,نمای درختی عوامل چهارگانه + کارت قیمت منابع و مقایسه مبنا/آمار/روز
ana_machine_4951,آنالیز بها / منابع,تحلیل عوامل چهارگانه و قیمت منابع,8,8,0,0,4,ردیف | کدعامل | شرح ماشین آلات | واحد | مقدار | بهای واحد | ضریب | بهای کل,nmb_rad | nmb_code_amel | src_dscr | src_unit | nmb_quan | nmb_zrib,نمای درختی عوامل چهارگانه + کارت قیمت منابع و مقایسه مبنا/آمار/روز
ana_masaleh_4951,آنالیز بها / منابع,تحلیل عوامل چهارگانه و قیمت منابع,8,8,0,0,4,ردیف | کدعامل | شرح مصالح | واحد | مقدار | بهای واحد | ضریب | بهای کل,nmb_rad | nmb_code_amel | src_dscr | src_unit | nmb_quan | nmb_zrib,نمای درختی عوامل چهارگانه + کارت قیمت منابع و مقایسه مبنا/آمار/روز
Note_10000_brv,برآورد,تعریف برآورد و آیتم‌های پایه,6,6,0,0,3,عنوان دفترچه | مبلغ برآوردی با احتساب ضرایب | مبلغ تعدیل | مبلغ ریالی کل | هزینه تجهیز برآوردی | اقلام فاکتوری,fhp_abst | fhp_mb_fhsx_z | fhp_mb_tdil_10000 | fhp_mb_10000_z | fhp_mbtj | fhp_mbfc_z,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
Note_63219_brv,برآورد,تعریف برآورد و آیتم‌های پایه,4,4,0,0,1,عنوان دفترچه | مبلغ برآوردی با احتساب ضرایب | هزینه تجهیز برآوردی | برآوردی با ضرایب + تجهیز,fhp_abst | fhp_mb_fhsx_z | fhp_mbtj | fhp_mb_fhsx_z_mbtj,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
