source_file,tip_no,form_title,module_family,capability_summary,web_interpretation
tx_tips.txt,1,دفترچه ها,فهرست‌بها / دفترچه,محاسبه مبلغ تجهیز به روشهای گوناگون از جمله درصدی از مبلغ خالص یا با ضرایب، مبلغ فصل 42، مقطوع به همراه تسهیلات انجام مي گيرد .,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips.txt,2,مابه التفاوت آهن و سیمان,تعدیل / شاخص,امکان محاسبه مابه التفاوت آهن و سیمان به روش فاقد تعدیل و  نیز براساس بخشنامه 23239 وجود دارد .,انتخاب دوره، شاخص، محاسبه ضریب و مبلغ تعدیل
tx_tips.txt,3,مابه التفاوت آهن و سیمان,مابه‌التفاوت / اختلاف,دسترسی به قیمت های آزاد و پیوستهای یک و دو وجود دارد .,محاسبه اختلاف و مابه‌التفاوت اقلام
tx_tips.txt,4,آنالیزبها,آنالیز بها / منابع,آنالیز تمام ردیف های برگه مالی براساس عوامل چهارگانه نیروی انسانی، ماشین آلات، مصالح و حمل، به همراه درصدهای وزنی هر یک از منابع و عوامل وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips.txt,5,آنالیزبها,آنالیز بها / منابع,امکان مقایسه مبلغ آنالیزی و بهای واحد آیتم فهرست بها و نیز محاسبه درصد رشد این دو نسبت به هم وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips.txt,6,آنالیزبها,آنالیز بها / منابع,امکان آنالیز تمام ردیف های برگه مالی، 65% ، انتخابی، ستاره دارها و ... وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips.txt,7,آناليزبها,آنالیز بها / منابع,امکان جایگزینی قیمت آنالیز شده با بهای واحد آیتم در برگه مالی ، وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips.txt,8,آنالیزبها و منابع,آنالیز بها / منابع,امکان فراخوانی قیمت های پایه از سه منابع سازمان مدیریت، مرکز آمار ایران، و همچنین قیمت روز وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips.txt,9,منابع,آنالیز بها / منابع,امکان مشاهده کل منابع موجود در پروژه براساس آنالیز و مقادیر آیتم ها در برگه مالی، وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips.txt,10,منابع,آنالیز بها / منابع,امکان مشاهده درصد وزنی هر عامل در یک پروژه وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips.txt,11,محاسبه کامل,عمومی / نامشخص,امکان محاسبه تمام فرم های سیستم به صورت یکباره، با توانایی اعمال هر نوع عملیات مختص خود فرم ها وجود دارد .,نیازمند بررسی دستی
tx_tips.txt,12,تاخیرات,عمومی / نامشخص,محاسبه تاخیرات مربوط به تاخیر در پرداخت وجود دارد .,نیازمند بررسی دستی
tx_tips.txt,13,زمان بندی,عمومی / نامشخص,رسم نمودار گانت هر فعالیت و زمانبندی آن در داخل خود برنامه با توجه به زیرردیف های هر فعالیت وجود دارد .,نیازمند بررسی دستی
tx_tips.txt,14,انتقال,آنالیز بها / منابع,انتقال پروژه به MSP (برنامه کنترل پروژه) براساس آنالیزهای ردیف های پروژه وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips.txt,15,گزارشات,گزارش / چاپ,امکان ویرایش گزارشات در محیط Crystal Reports,خروجی قابل چاپ/PDF/Excel
tx_tips.txt,16,گزارشات,گزارش / چاپ,امکان انتقال به برنامه های جانبی Word، Excel، Acrobat وجود دارد .,خروجی قابل چاپ/PDF/Excel
tx_tips.txt,17,ریزمتره و خلاصه متره,متره / ریزمتره,امکان رسم تصویر برای هر آیتم در ریزمتره یا خلاصه متره و گزارشگیری آنها وجود دارد .,ثبت ریزمتره، فرمول مقدار و اتصال به آیتم‌ها
tx_tips.txt,18,ریزمتره و خلاصه متره,تعدیل / شاخص,امکان تعریف آیتم ستاره دار، فاکتوری، مبنای قرارداد، قیمت جدید، فاقد تعدیل، مجازی در هر یک از فرم های ریزمتره، خلاصه متره و برگه مالی وجود دارد .,انتخاب دوره، شاخص، محاسبه ضریب و مبلغ تعدیل
tx_tips.txt,19,ریزمتره و خلاصه متره و برگه مالی,متره / ریزمتره,دسترسی به فهرست بهای پایه و تمام آیتم های مختص آن در هر دفترچه در سیستم وجود دارد .,ثبت ریزمتره، فرمول مقدار و اتصال به آیتم‌ها
tx_tips.txt,20,ریزمتره و خلاصه متره و برگه مالی,متره / ریزمتره,امکان فرمول نویسی برای هر یک از متغیرهای فرم های ورودی از قبیل ریزمتره، برگه مالی و خلاصه متره,ثبت ریزمتره، فرمول مقدار و اتصال به آیتم‌ها
tx_tips.txt,21,امکان جستجو و مرتب سازی روی تمام جداول فرم های موجود در سیستم وجود دارد .,عمومی / نامشخص,,نیازمند بررسی دستی
tx_tips.txt,22,ریزمتره و خلاصه متره و برگه مالی,متره / ریزمتره,امکان اضافه کردن کدهای مرتبط تحت عنوان اضافه یا کسربها در سیستم وجود دارد .,ثبت ریزمتره، فرمول مقدار و اتصال به آیتم‌ها
tx_tips.txt,23,برگه مالی ، فصول و دفترچه ها,آنالیز بها / منابع,امکان مشاهده فرم های بخشنامه 4951 تحت عنوان نزولی بها، 65%، جدول 3، 4، 5 (آنالیزبها) در داخل برنامه در سیستم وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips.txt,24,آناليز بها,آنالیز بها / منابع,امکان آنالیز آیتم های برگه مالی براساس شرح، بهای واحد، آیتم های جدید وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips.txt,25,مابه التفاوت حمل,منابع / مصالح / حمل,امکان محاسبه حمل برای همه عناوین مصالح هر فهرست بها وجود دارد .,مصالح، ماشین‌آلات، نیروی انسانی، حمل و منبع‌یابی
tx_tips.txt,26,مابه التفاوت حمل,منابع / مصالح / حمل,امکان استفاده از فواصل تمام نقاط کشور در محاسبات حمل وجود دارد .,مصالح، ماشین‌آلات، نیروی انسانی، حمل و منبع‌یابی
tx_tips.txt,27,مابه التفاوت حمل,منابع / مصالح / حمل,امکان محاسبه حمل مصالح که از چندین نقطه مختلف طی مسیر کرده اند ، وجود دارد .,مصالح، ماشین‌آلات، نیروی انسانی، حمل و منبع‌یابی
tx_tips.txt,28,فصول و دفترچه ها,فهرست‌بها / دفترچه,امکان مشاهده فصول و دفترچه ها با احتساب ضرایب یا به صورت خالص وجود دارد .,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips.txt,29,فصول و دفترچه ها,فهرست‌بها / دفترچه,امکان مشاهده فرم های فصول و دفترچه ها در وضعیت های تعریف شده در بخشنامه های 4951 و 76574  وجود دارد .,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips.txt,30,برگه مالی ،فصول و دفترچه ها,فهرست‌بها / دفترچه,امکان محاسبه درصد اجرا شده، مقدار افزایش و کاهش یافته وجود دارد .,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips.txt,31,فصول و دفترچه ها,فهرست‌بها / دفترچه,مشاهده درصدهای وزنی هر فصل و دفترچه در کل پروژه وجود دارد .,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips.txt,32,فهارس پايه,تعدیل / شاخص,دسترسی به شاخص های هر سه ماهه به صورت فصلی، رشته ای و کل به تفکیک دفترچه ها  وجود دارد .,انتخاب دوره، شاخص، محاسبه ضریب و مبلغ تعدیل
tx_tips.txt,33,درخت,عمومی / نامشخص,مشاهده کل پروژه های سیستم در قالب درخت در حین ورود به برنامه در سیستم وجود دارد .,نیازمند بررسی دستی
tx_tips.txt,34,نصب,عمومی / نامشخص,امکان نصب پایگاه اطلاعاتی روی سرور به علت بالابردن امنیت داده ها و استفاده عمومی سایر کاربران از آن وجود دارد .,نیازمند بررسی دستی
tx_tips.txt,35,امکان تک کاربره و شبکه بودن قفل برنامه و به طبع آن امکان ورود چندین کاربر هم زمان در سیستم های تحت شبکه در سیستم وجود دارد .,عمومی / نامشخص,,نیازمند بررسی دستی
tx_tips.txt,36,درخت پروژه ها,گزارش / چاپ,گرفتن گزارشات مدیریتی از درخت پروژه ها وجود دارد .,خروجی قابل چاپ/PDF/Excel
tx_tips.txt,37,درخت پروژه ها,عمومی / نامشخص,امکان کپی بخشهای مختلف یک پروژه به پروژه دیگر به همراه توانایی تغییر سال پایه وجود دارد .,نیازمند بررسی دستی
tx_tips.txt,38,دستیابی کاربران,عمومی / نامشخص,تعریف چندین نقش و کاربر برای دسترسی به اطلاعات پروژه های موجود و اطلاعات پایه وجود دارد .,نیازمند بررسی دستی
tx_tips.txt,39,دستیابی کاربران,عمومی / نامشخص,امکان تعریف رمز عبور برای هر کاربر به طور کاملاً مجزا دارد .,نیازمند بررسی دستی
tx_tips.txt,40,درخت پروژه ها,عمومی / نامشخص,امکان بازیابی ا ز فایل های Backup گیری و همچنین آرشیو کردن پروژه ها وجود دارد .,نیازمند بررسی دستی
tx_tips.txt,41,فهارس بهای پایه,عمومی / نامشخص,امکان دسترسی به اطلاعات پایه با توجه به سطح دستیابی تعریف شده وجود دارد .,نیازمند بررسی دستی
tx_tips.txt,42,مسافت ها,عمومی / نامشخص,امکان مشاهده مسافت تمام نقاط مختلف کشور براساس وزارت راه وجود دارد .,نیازمند بررسی دستی
tx_tips.txt,43,تقریب مقادیر,عمومی / نامشخص,امکان تعریف تقریب مقادیر متغیرهای فرم های موجود بر حسب نیاز وجود دارد .,نیازمند بررسی دستی
tx_tips.txt,44,پيمان,عمومی / نامشخص,امکان اجرای پروژه های مترمربع زیربنا براساس فعالیت های پروژه وجود دارد .,نیازمند بررسی دستی
tx_tips.txt,45,پيمان,فهرست‌بها / دفترچه,امکان تعریف دفترچه های (فهارس بها)خاص برای هر سیستم و دسترسی به آن در تمام پروژه های دیگر وجود دارد .,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips.txt,46,پيمان,برآورد,امکان برآورد کردن پروژه با احتساب تعدیل با تعیین دوره مبنا و جاری در سیستم وجود دارد .,تعریف برآورد و آیتم‌های پایه
