module_family,grid_count,column_count,tips_count,web_workflow_role
صورت‌وضعیت / کارکرد,57,661,6,ثبت کارکرد، مقادیر دوره، قبلی و تجمعی
برآورد,49,512,3,تعریف برآورد و آیتم‌های پایه
عمومی / نامشخص,38,140,51,نیازمند بررسی دستی
پیشنهاد / پیمان,33,388,1,ثبت پیشنهاد، ضرایب پیمان و اقلام پیمان
منابع / مصالح / حمل,11,94,9,مصالح، ماشین‌آلات، نیروی انسانی، حمل و منبع‌یابی
آنالیز بها / منابع,8,64,29,تحلیل عوامل چهارگانه و قیمت منابع
فهرست‌بها / دفترچه,6,46,23,انتخاب دفترچه، فصل و آیتم فهرست‌بها
متره / ریزمتره,3,44,14,ثبت ریزمتره، فرمول مقدار و اتصال به آیتم‌ها
تعدیل / شاخص,3,26,12,انتخاب دوره، شاخص، محاسبه ضریب و مبلغ تعدیل
صورتجلسه / خدمات,1,12,0,ثبت صورتجلسه/خدمات و اتصال به کارکرد
