rule_family,primary_sources,taksa_objects,web_engine,must_preserve,ui_workflow,roundtrip_risk,priority
فهرست‌بها و آیتم‌های پایه,"base_fhbh, base_fsbs, base_book, base_nmmhb, viwBase1400..1404, Note_14xx PDFs","base_fhbh, base_fsbs, base_book, base_nmmhb, viwBase1403, viwBase1404, GetCofhExists, GetCofhOfNmmhb, ChangeNufhCode",Reference Price List Engine,کد ردیف، کد فصل، سال دفترچه، واحد، شرح، نوع آیتم، ردیف‌های حذف/اضافه/تطبیق‌شده,جستجو و انتخاب ردیف فهرست‌بها، نمایش یادداشت فصل، تشخیص آیتم ستاره‌دار/غیرفهرست‌بهایی,تغییر کد/سال/واحد باعث خراب شدن export به SVZT و گزارش‌ها می‌شود,بسیار بالا
تطبیق و بروزرسانی سال فهرست‌بها,لیست مغایرت 1404/1403، base_tatbigh، CNV*، copy_base_*، change_book*,"base_tatbigh, CNV00_definitions..CNV09_shkh_update_all, copy_base_*, Change_Year_in_project, change_book_in_project, change_book_zarib_name_in_project",Price List Conversion/Upgrade Engine,ردیف‌های حذف‌شده، اضافه‌شده، تغییر شرح/قیمت/واحد، mapping سال قدیم به جدید,ابزار بروزرسانی مبانی پروژه، گزارش اختلاف قبل/بعد,تغییر سال بدون mapping رسمی باعث عدم تطابق با تکسا می‌شود,بالا
ضرایب قرارداد و فهرست‌بها,"base_zrtj, brv_mult, brv_fhpy, Lc PDFs, Zarib PDFs, SQL procedures","brv_mult, base_zrtj, CreateBrvMult, CreateBrvMultFk, update_zarib_fhpy_mult, change_book_zarib_name_in_project",Coefficient Engine,نوع ضریب، سطح اعمال: پروژه/فصل/ردیف، ترتیب ضرب، نام ضریب، فعال/غیرفعال بودن,پنل ضرایب پروژه با preview اثر روی مبلغ,ترتیب اعمال ضرایب و سطح اعمال اگر اشتباه شود برگه مالی با تکسا برابر نمی‌شود,بسیار بالا
صورت‌وضعیت و کارکرد تجمعی,"brv_situ, brv_type_situ, brv_bgml, brv_rzmt, viwSooratVaziat, Reports sv_*","brv_situ, brv_type_situ, brv_bgml, brv_rzmt, brv_acts, brv_khmt, viwSooratVaziat, svz_importer, SVZIMPORT*",Payment Certificate Engine,nusv، type، مقدار قبلی/این دوره/تا این دوره، اصلاحات رسیدگی، ارتباط با ریزمتره و برگه مالی,Wizard ساخت صورت‌وضعیت + Review Desk مشاور/کارفرما,محاسبه تجمعی و نگهداری nusv/type اشتباه، برگشت به تکسا را خراب می‌کند,بسیار بالا
تعدیل و شاخص‌ها,"Shkh PDFs, Base_ShakhesYerSeMahe, V_Shakhes*, brv_intp, viwTadil, tdil reports, S.tadil/Tadil PDFs","Base_ShakhesYerSeMahe, base_ShakhesType, brv_intp, viwTadil, V_Shakhes*, sv_tdil_intp, brv_TadilKosorat, brv_Tadilkosorat",Adjustment/Index Engine,دوره سه‌ماهه، شاخص مبنا، شاخص دوره، نوع تعدیل، فصلی/رشته‌ای، تعدیل موقت/قطعی، case دقیق tagهای XML,پنل تعدیل با انتخاب دوره/شاخص، نمایش فرمول، کنترل اختلاف با تکسا,case mismatch مثل brv_Tadilkosorat/ brv_TadilKosorat و دوره اشتباه باعث export ناسازگار می‌شود,بسیار بالا
کسورات و مالیات/بیمه/تعدیل کسورات,"brv_kosorat, brv_TadilKosorat, Mali.xls, bgml reports, PDFهای مالی/بیمه","brv_kosorat, brv_TadilKosorat, brv_Tadilkosorat, brv_bgml, viwSooratVaziat",Deduction Engine,نوع کسری، مبنای محاسبه، اثر روی این دوره/تجمعی، ترتیب اعمال بعد از ضرایب/قبل از پرداخت,برگه مالی با جدول کسورات قابل کنترل و audit,کسر اشتباه مبلغ نهایی و گزارش bgml را از تکسا جدا می‌کند,بالا
متره و ریزمتره,"brv_rzmt, brv_acts, Rizmertreh.xls, kholaseh_metreh.xls, rzmt_act.xls, rzmt reports","brv_rzmt, brv_acts, base_tyun, Rizmertreh.xls, rzmt_act.xls, sv_rzmt/br_rzmt reports",Measurement Engine,فرمول مقدار، واحد، کد فعالیت، اتصال به ردیف فهرست‌بها، ترتیب ردیف‌ها,جدول ریزمتره حرفه‌ای با فرمول، کپی از دوره قبل و خروجی Excel,عددها باید numeric بمانند؛ متن/فرمول نباید ارتباط با ردیف تکسا را از بین ببرد,بسیار بالا
منابع، آنالیز بها، قیمت روز,"base_sorc, base_sorc_list, brv_sorc, brv_sorc_all, resource_price.xlsx, ana/sorc reports","base_sorc, base_sorc_list, brv_sorc, brv_sorc_all, FN_CheckAnalyze, GetLinkSorclist, ISZeroOrNUllDecimal_10",Resource/Analysis Engine,کد منبع، نوع منبع، قیمت روز، ارتباط با آنالیز و ردیف فهرست‌بها,مدیریت منابع و ورود قیمت روز با import/export اکسل,واحد و کد عامل اگر normalize نشود آنالیز بها و گزارش‌ها مغایر می‌شوند,بالا
مصالح پایکار، تجهیز و مابه‌التفاوت,"Tajhiz/Tadil_Tajhiz PDFs, brv_khmt/brv_khtd/brv_mhjo, viwTatbigh_Paykar, reports khmt/khtd/mhjo","brv_khmt, brv_khtd, viwTatbigh_Paykar, base_TajhzType, brv_TadilKosorat",Materials-at-site/Mobilization Engine,نوع مصالح/تجهیز، مبلغ مشمول، اتصال به صورت‌وضعیت و تعدیل، دوره اثرگذاری,پنل مصالح پایکار و تجهیز کارگاه با اتصال به صورت‌وضعیت,عدم تفکیک پایکار/کار انجام‌شده باعث خطای تعدیل و مالی می‌شود,متوسط رو به بالا
حمل، فاصله و مسیرها,"distance_view, pk_dist reports, brv_distance/haml reports, Tb_Ert/Haml docs","distance_view, pk_dist_distances, pk_dist_points, brv_hmpy_distance, brv_comparehaml",Transport/Distance Engine,مبدأ/مقصد، فاصله، نوع حمل، ارتباط با ردیف/منبع/مصالح,پنل حمل و فاصله با جدول مسیرها و خروجی کنترل,فاصله و مبنای حمل اشتباه، گزارش‌های حمل و مبلغ نهایی را خراب می‌کند,متوسط
قفل، نسخه، حذف وابسته و audit,"Fn_TypeIsLocked, Fn_VersionNztIsLocked, triggers, DELETE procedures","Fn_TypeIsLocked, Fn_VersionNztIsLocked, SpDeleteTypeSituDependencies, type_situ_DELETE, brv_contract_DELETE, smn_contract_DELETE",Workflow Lock/Audit Engine,وضعیت سند، نسخه رسیدگی، نقش مجاز، قفل بعد از تأیید، حذف امن,کارتابل و Review Desk با وضعیت رسمی و audit log,ویرایش سند قفل‌شده باعث مغایرت با تکسا و مسئولیت حقوقی می‌شود,بالا
تاریخ، عدد، واحد و نرمال‌سازی,"Utility functions, base_unit/base_unit_raw, MakeDate, decimal_swap, Correct functions","MakeDate, decimal_swap, Correct, Correct_reverse, base_unit, base_unit_raw, LstUsesOfUnit, ISZeroOrNUll*",Normalization Engine,تاریخ شمسی، جداکننده اعشار، صفر/خالی/null، واحدها، دقت اعشار,ورودی عدد و تاریخ استاندارد فارسی با ذخیره numeric واقعی,تفاوت صفر/null/خالی یا اعشار باعث اختلاف محاسبه و export می‌شود,بسیار بالا
