path,name,category,size_kb,year_tokens
Main_Docs_Selected/Tajhiz.pdf,Tajhiz.pdf,تجهیز کارگاه,153.0,
Main_Docs_Selected/S.tadil.pdf,S.tadil.pdf,تعدیل,603.5,
Main_Docs_Selected/Tadil_Aks.pdf,Tadil_Aks.pdf,تعدیل,24.1,
Main_Docs_Selected/Tadil_Tajhiz.pdf,Tadil_Tajhiz.pdf,تعدیل,34.4,
Main_Docs_Selected/tadilmovaghat-1403-693452.pdf,tadilmovaghat-1403-693452.pdf,تعدیل,401.7,
Main_Docs_Selected/Arz-14010601.pdf,Arz-14010601.pdf,جبران ارز / مابه‌التفاوت,269.4,
Main_Docs_Selected/Arz-97-376049.pdf,Arz-97-376049.pdf,جبران ارز / مابه‌التفاوت,1628.5,97
Main_Docs_Selected/Arz4-1403-661080.pdf,Arz4-1403-661080.pdf,جبران ارز / مابه‌التفاوت,938.9,
Main_Docs_Selected/Arz_97-701059.pdf,Arz_97-701059.pdf,جبران ارز / مابه‌التفاوت,601.9,97
Main_Docs_Selected/Tamdid-Arz-97-376052.pdf,Tamdid-Arz-97-376052.pdf,جبران ارز / مابه‌التفاوت,507.1,97
Main_Docs_Selected/arz98-135585.pdf,arz98-135585.pdf,جبران ارز / مابه‌التفاوت,373.9,",98"
Main_Docs_Selected/arz98-135596.pdf,arz98-135596.pdf,جبران ارز / مابه‌التفاوت,287.8,",98"
Main_Docs_Selected/jamejabri.pdf,jamejabri.pdf,جبران ارز / مابه‌التفاوت,221.1,
Main_Docs_Selected/jobrane_arz.pdf,jobrane_arz.pdf,جبران ارز / مابه‌التفاوت,480.5,
Main_Docs_Selected/jobrane_arz_93.pdf,jobrane_arz_93.pdf,جبران ارز / مابه‌التفاوت,249.4,93
Main_Docs_Selected/jobrane_arz_94.pdf,jobrane_arz_94.pdf,جبران ارز / مابه‌التفاوت,576.9,94
Main_Docs_Selected/jobrane_arz_95.pdf,jobrane_arz_95.pdf,جبران ارز / مابه‌التفاوت,480.5,95
Main_Docs_Selected/tamdid2nobate3Arz.pdf,tamdid2nobate3Arz.pdf,جبران ارز / مابه‌التفاوت,332.4,
pdfs_selected/Shkh/Shkh_1403.pdf,Shkh_1403.pdf,شاخص تعدیل / دوره‌های سه‌ماهه,5595.6,
pdfs_selected/Shkh/Shkh_1404.pdf,Shkh_1404.pdf,شاخص تعدیل / دوره‌های سه‌ماهه,2890.6,
Main_Docs_Selected/ZaribMantagheie.pdf,ZaribMantagheie.pdf,ضرایب / منطقه / بهنگام‌سازی,478.4,
Main_Docs_Selected/Zarib_BehengamSazi.pdf,Zarib_BehengamSazi.pdf,ضرایب / منطقه / بهنگام‌سازی,115.0,
pdfs_selected/Lc/Lc_1403.pdf,Lc_1403.pdf,ضرایب / منطقه / بهنگام‌سازی,478.4,
pdfs_selected/Lc/Lc_1404.pdf,Lc_1404.pdf,ضرایب / منطقه / بهنگام‌سازی,478.4,
Help/Active Disable Driver Signature in Win 8.pdf,Active Disable Driver Signature in Win 8.pdf,عمومی / نصب / راهنما,154.5,
Help/tajmee_rahoband.pdf,tajmee_rahoband.pdf,عمومی / نصب / راهنما,1593.9,
Help/win8-active net35.pdf,win8-active net35.pdf,عمومی / نصب / راهنما,276.7,
Help/لیست مفایرت فهرست بهای 92 با 88.pdf,لیست مفایرت فهرست بهای 92 با 88.pdf,عمومی / نصب / راهنما,79.1,"88,92"
Help/لیست مفایرت فهرست بهای 93 با 92.pdf,لیست مفایرت فهرست بهای 93 با 92.pdf,عمومی / نصب / راهنما,126.9,"92,93"
Main_Docs_Selected/Damane_Motenaseb_v4.pdf,Damane_Motenaseb_v4.pdf,عمومی / نصب / راهنما,2286.6,
root_files/راهنمای نصب تکسا از روی بسته دانلود 1404.pdf,راهنمای نصب تکسا از روی بسته دانلود 1404.pdf,عمومی / نصب / راهنما,617.0,
Help/لیست مغایرت فهرست بهای 1400 با 1399.pdf,لیست مغایرت فهرست بهای 1400 با 1399.pdf,مغایرت/تطبیق سال‌های فهرست‌بها,102.8,
Help/لیست مغایرت فهرست بهای 1401 با 1400.pdf,لیست مغایرت فهرست بهای 1401 با 1400.pdf,مغایرت/تطبیق سال‌های فهرست‌بها,167.8,
Help/لیست مغایرت فهرست بهای 1403 با 1402.pdf,لیست مغایرت فهرست بهای 1403 با 1402.pdf,مغایرت/تطبیق سال‌های فهرست‌بها,132.0,
Help/لیست مغایرت فهرست بهای 94 با 93.pdf,لیست مغایرت فهرست بهای 94 با 93.pdf,مغایرت/تطبیق سال‌های فهرست‌بها,101.9,"93,94"
Help/لیست مغایرت فهرست بهای 95 با 94.pdf,لیست مغایرت فهرست بهای 95 با 94.pdf,مغایرت/تطبیق سال‌های فهرست‌بها,737.8,"94,95"
Help/لیست مغایرت فهرست بهای 96 با 95.pdf,لیست مغایرت فهرست بهای 96 با 95.pdf,مغایرت/تطبیق سال‌های فهرست‌بها,79.5,"95,96"
Help/لیست مغایرت فهرست بهای 97 با 96.pdf,لیست مغایرت فهرست بهای 97 با 96.pdf,مغایرت/تطبیق سال‌های فهرست‌بها,85.6,"96,97"
