rule_family,object_type,object_name,category,dependency_count,dependencies
تطبیق و بروزرسانی سال فهرست‌بها,PROCEDURE,CNV00_definitions,تبدیل/به‌روزرسانی/کپی مبانی,1,taksa_temp
تطبیق و بروزرسانی سال فهرست‌بها,PROCEDURE,CNV02_unit_insert,تبدیل/به‌روزرسانی/کپی مبانی,0,
تطبیق و بروزرسانی سال فهرست‌بها,PROCEDURE,CNV04_grop_dstb_hmbs_refinement,تبدیل/به‌روزرسانی/کپی مبانی,0,
تطبیق و بروزرسانی سال فهرست‌بها,PROCEDURE,CNV05_grop_insert,تبدیل/به‌روزرسانی/کپی مبانی,0,
تطبیق و بروزرسانی سال فهرست‌بها,PROCEDURE,CNV06_grop_correction_hmbs_dstb,Utility / نرمال‌سازی مقدار,0,
تطبیق و بروزرسانی سال فهرست‌بها,PROCEDURE,CNV07_sorc_nmmhb,تبدیل/به‌روزرسانی/کپی مبانی,0,
تطبیق و بروزرسانی سال فهرست‌بها,PROCEDURE,CNV08_FOSI_update_all,Utility / نرمال‌سازی مقدار,1,CNV08_FOSI_update_all
تطبیق و بروزرسانی سال فهرست‌بها,PROCEDURE,CNV09_shkh_update_all,Utility / نرمال‌سازی مقدار,0,
تطبیق و بروزرسانی سال فهرست‌بها,PROCEDURE,ChangeNufhCode,تبدیل/به‌روزرسانی/کپی مبانی,22,"ChangeNufhCode, brv_ader, brv_bgml, brv_dstb, brv_dstn_fromto, brv_dstn_fromto_rzmt, brv_dstn_main, brv_dstn_main_rzmt, brv_fhbh, brv_fhpy, brv_fhpy_Acts, brv_grop, brv_hmbs, brv_hmpy, brv_hmpy_rzmt, brv_khmt, brv_mult_acts, brv_nmmhb, brv_rzmt, brv_sorc, brv_sorc_acts, brv_tatbigh"
تطبیق و بروزرسانی سال فهرست‌بها,PROCEDURE,Change_Year_in_project,تبدیل/به‌روزرسانی/کپی مبانی,1,Change_Year_in_project
تطبیق و بروزرسانی سال فهرست‌بها,PROCEDURE,change_book_in_project,تبدیل/به‌روزرسانی/کپی مبانی,14,"brv_HelpFilm, brv_MessageType, brv_SetSms, brv_Tender_AlfaFactor, brv_Tender_Import, brv_Tender_ImportFactors_Base, brv_Tender_Stages, brv_Tender_TendererCount, brv_special_type, change_book_in_project, dbo, pek_dis_point, pek_dis_state, pek_dis_zone"
تطبیق و بروزرسانی سال فهرست‌بها,PROCEDURE,change_book_zarib_name_in_project,تبدیل/به‌روزرسانی/کپی مبانی,0,
تطبیق و بروزرسانی سال فهرست‌بها,PROCEDURE,copy_base_book,تبدیل/به‌روزرسانی/کپی مبانی,0,
تطبیق و بروزرسانی سال فهرست‌بها,PROCEDURE,copy_base_fasl,تبدیل/به‌روزرسانی/کپی مبانی,1,copy_base_fasl
تطبیق و بروزرسانی سال فهرست‌بها,PROCEDURE,copy_base_fhbh,تبدیل/به‌روزرسانی/کپی مبانی,1,copy_base_fhbh
تطبیق و بروزرسانی سال فهرست‌بها,PROCEDURE,copy_base_hmbs,تبدیل/به‌روزرسانی/کپی مبانی,0,
تطبیق و بروزرسانی سال فهرست‌بها,PROCEDURE,copy_base_nmmhb,تبدیل/به‌روزرسانی/کپی مبانی,1,copy_base_nmmhb
تطبیق و بروزرسانی سال فهرست‌بها,PROCEDURE,copy_base_sorc,تبدیل/به‌روزرسانی/کپی مبانی,0,
تطبیق و بروزرسانی سال فهرست‌بها,PROCEDURE,copy_base_zrlc,تبدیل/به‌روزرسانی/کپی مبانی,0,
