xml_order,xml_table,row_count,field_count,web_entity,business_meaning,import_mapping_strategy,composite_key_candidate,scriptxml_status,export_policy,web_domain,normalized_entity_candidate,section09_decision,roundtrip_anchor_required
1,BaseSituNoe,3,3,lookup_statement_kind,نوع صورت‌وضعیت: موقت/ماقبل قطعی/قطعی,lookup+passthrough,BaseSituNoe/StnId,actual_only,merge_patch_if_changed_else_raw_passthrough,Reference/Lookup,LookupStatementKind,normalize,yes
2,base_PersonalityTyp,7,5,lookup_party_role_type,نوع شخصیت/نقش: پیمانکار، ناظر، مشاور، کارفرما...,lookup+passthrough,pty_id,actual_only,merge_patch_if_changed_else_raw_passthrough,Reference/Lookup,LookupPartyRoleType,normalize,yes
3,BaseBarcode,1000,5,lookup_barcode,کدینگ بارکد/شماره‌گذاری,passthrough until needed,Id/BbcCode,actual_only,merge_patch_if_changed_else_raw_passthrough,Reference/Lookup,LookupBarcode,normalize,yes
4,base_TajhzType,4,2,lookup_mobilization_type,نوع تجهیز کارگاه,lookup+passthrough,tjt_id,actual_only,merge_patch_if_changed_else_raw_passthrough,Reference/Lookup,LookupMobilizationType,normalize,yes
5,Base_Months,13,2,lookup_month,ماه‌های شمسی/دوره‌ای,lookup+passthrough,mon_id,actual_only,merge_patch_if_changed_else_raw_passthrough,Reference/Lookup,LookupMonth,normalize,yes
6,base_ShakhesType,2,2,lookup_index_type,نوع شاخص,lookup+passthrough,Sht_id,actual_only,merge_patch_if_changed_else_raw_passthrough,Reference/Lookup,LookupIndexType,normalize,yes
7,Base_ItemType,6,5,lookup_item_type,نوع آیتم: مصالح/دستمزد/عادی/حمل/پایکار,lookup+passthrough,Ity_id,actual_only,merge_patch_if_changed_else_raw_passthrough,Reference/Lookup,LookupItemType,normalize,yes
8,base_unit,1802,3,unit,واحدها,lookup normalize + dedupe,unt_unit / unt_id,both_exact,merge_patch_if_changed_else_raw_passthrough,Reference/Lookup,Unit,normalize,yes
9,base_tyun,8,3,measurement_formula_type,نوع فرمول/واحد متره,lookup normalize + passthrough,tyn_tyun,both_exact,merge_patch_if_changed_else_raw_passthrough,Reference/Measurement,MeasurementFormulaType,normalize,yes
10,base_zrtj,18,3,coefficient_lookup,لیست/ثابت ضرایب,lookup+passthrough,zrt_id/zrt_zrpr,both_exact,merge_patch_if_changed_else_raw_passthrough,Reference/Lookup,CoefficientLookup,normalize,yes
11,base_IntpVaziat,3,2,adjustment_duration_status,وضعیت مدت: اولیه/تاخیر مجاز/غیرمجاز,lookup+passthrough,itv_id,actual_only,merge_patch_if_changed_else_raw_passthrough,Adjustment,AdjustmentDurationStatus,normalize,yes
12,brv_color,16,6,ui_color_lookup,رنگ‌های نقش/گزارش,passthrough/ui option,col_*,actual_only,merge_patch_if_changed_else_raw_passthrough,Reference/Lookup,UiColorLookup,normalize,yes
13,base_acts_unit,203,3,activity_unit,واحد فعالیت‌ها,lookup+passthrough,acu_unit,both_exact,merge_patch_if_changed_else_raw_passthrough,Reference/Lookup,ActivityUnit,normalize,yes
14,brv_contract,1,161,project_contract,پروژه، قرارداد، تنظیمات محاسبات و گزارش,normalize + patch controlled fields,ctc_id,both_exact,merge_patch_if_changed_else_raw_passthrough,Project Core,ProjectContract,normalize,yes
