object_type,object_name,depends_on,depends_on_module
TRIGGER,child_id_updater,pek_reports,peik / گزارش‌ها و درخت گزارش
FUNCTION,KhmtHasErrInRadDT,brv_khmt,brv / برآورد، قرارداد، ریزمتره، منابع
FUNCTION,KhmtHasErrInRad,brv_khmt,brv / برآورد، قرارداد، ریزمتره، منابع
PROCEDURE,DeleteStarItems,DeleteStarItems,unknown / نیازمند بررسی
PROCEDURE,Change_Year_in_project,Change_Year_in_project,unknown / نیازمند بررسی
PROCEDURE,Change_Year_in_project,Change_Year_in_project,unknown / نیازمند بررسی
PROCEDURE,Change_Year_in_project,Change_Year_in_project,unknown / نیازمند بررسی
FUNCTION,decimal_swap,decimal_swap,unknown / نیازمند بررسی
VIEW,viwbase95,base_book,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase95,base_fhbh,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase95,base_fsbs,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase95,viwbase95,view / ویوهای محاسباتی و گزارش‌گیری
PROCEDURE,SetCodeAmelInSource,Correct,unknown / نیازمند بررسی
PROCEDURE,SetCodeAmelInSource,SetCodeAmelInSource,unknown / نیازمند بررسی
VIEW,viwbase87,base_book,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase87,base_fhbh,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase87,base_fsbs,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase87,viwbase87,view / ویوهای محاسباتی و گزارش‌گیری
VIEW,viwbase87,base_book,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase87,base_fhbh,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase87,base_fsbs,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase87,viwbase87,view / ویوهای محاسباتی و گزارش‌گیری
VIEW,viwbase87,base_book,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase87,base_fhbh,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase87,base_fsbs,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase87,viwbase87,view / ویوهای محاسباتی و گزارش‌گیری
VIEW,viwbase93,base_book,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase93,base_fhbh,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase93,base_fsbs,base / فهرست‌بها و اطلاعات پایه
VIEW,viwbase93,viwbase93,view / ویوهای محاسباتی و گزارش‌گیری
PROCEDURE,dt_addtosourcecontrol_u,dt_addtosourcecontrol,system / آبجکت‌های سیستمی SQL Server
PROCEDURE,dt_addtosourcecontrol_u,dt_addtosourcecontrol_u,system / آبجکت‌های سیستمی SQL Server
PROCEDURE,dt_checkinobject_u,dt_checkinobject,system / آبجکت‌های سیستمی SQL Server
PROCEDURE,dt_checkinobject_u,dt_checkinobject_u,system / آبجکت‌های سیستمی SQL Server
PROCEDURE,dt_checkoutobject_u,dt_checkoutobject,system / آبجکت‌های سیستمی SQL Server
PROCEDURE,dt_checkoutobject_u,dt_checkoutobject_u,system / آبجکت‌های سیستمی SQL Server
PROCEDURE,dt_isundersourcecontrol_u,dt_isundersourcecontrol,system / آبجکت‌های سیستمی SQL Server
PROCEDURE,dt_isundersourcecontrol_u,dt_isundersourcecontrol_u,system / آبجکت‌های سیستمی SQL Server
PROCEDURE,dt_validateloginparams_u,dt_validateloginparams,system / آبجکت‌های سیستمی SQL Server
PROCEDURE,dt_validateloginparams_u,dt_validateloginparams_u,system / آبجکت‌های سیستمی SQL Server
PROCEDURE,dt_whocheckedout_u,dt_whocheckedout,system / آبجکت‌های سیستمی SQL Server
PROCEDURE,dt_whocheckedout_u,dt_whocheckedout_u,system / آبجکت‌های سیستمی SQL Server
PROCEDURE,set_user_state_Acc,set_user_state_Acc,unknown / نیازمند بررسی
PROCEDURE,dt_generateansiname,dt_generateansiname,system / آبجکت‌های سیستمی SQL Server
VIEW,viwBase1402,base_book,base / فهرست‌بها و اطلاعات پایه
VIEW,viwBase1402,base_fhbh,base / فهرست‌بها و اطلاعات پایه
VIEW,viwBase1402,base_fsbs,base / فهرست‌بها و اطلاعات پایه
VIEW,viwBase1402,viwBase1402,view / ویوهای محاسباتی و گزارش‌گیری
PROCEDURE,SVZIMPORT01_prepare,svz_importer,svz / صورت‌وضعیت یا ایمپورت آن
FUNCTION,ISEmptyOrNUll,ISEmptyOrNUll,unknown / نیازمند بررسی
PROCEDURE,set_user_state_brv,set_user_state_brv,unknown / نیازمند بررسی
PROCEDURE,set_user_state_brv,set_user_state_brv,unknown / نیازمند بررسی
