type,name,dependencies_count,dependencies,header
FUNCTION,AddZeroToMake2Digit,1,AddZeroToMake2Digit,create FUNCTION [dbo].[AddZeroToMake2Digit] (@num NVARCHAR(10))
FUNCTION,CalcFbhNusu,0,,CREATE FUNCTION CalcFbhNusu
FUNCTION,CalcFbhNusu,0,,CREATE FUNCTION CalcFbhNusu
FUNCTION,CalcFbhNusu,0,,CREATE FUNCTION CalcFbhNusu
FUNCTION,CalcFbhNusu,0,,CREATE FUNCTION CalcFbhNusu
FUNCTION,compare_projects_fhpy,1,compare_projects_fhpy,"CREATE FUNCTION dbo.compare_projects_fhpy(@p1 int , @p2 int )"
FUNCTION,compare_projects_fhpy,1,compare_projects_fhpy,"CREATE FUNCTION dbo.compare_projects_fhpy(@p1 int , @p2 int )"
FUNCTION,Correct,1,Correct,CREATE FUNCTION [dbo].[Correct] (@vchValue nvarchar(4000))
FUNCTION,Correct,1,Correct,CREATE FUNCTION [dbo].[Correct] (@vchValue nvarchar(4000))
FUNCTION,Correct_reverse,1,Correct_reverse,CREATE FUNCTION [dbo].[Correct_reverse] (@vchValue nvarchar(4000))
FUNCTION,Correct_reverse,1,Correct_reverse,CREATE FUNCTION [dbo].[Correct_reverse] (@vchValue nvarchar(4000))
FUNCTION,decimal_swap,1,decimal_swap,CREATE FUNCTION [dbo].[decimal_swap] (@vchValue nvarchar(4000)) RETURNS nvarchar(4000)
FUNCTION,FN_CheckAnalyze,2,"FN_CheckAnalyze, base_nmmhb","CREATE FUNCTION [dbo].[FN_CheckAnalyze] (@Year INT,@Nufh INT,@Nuse INT,@Cofh NVARCHAR(10))"
FUNCTION,fn_diagramobjects,9,"fn_diagramobjects, sp_alterdiagram, sp_creatediagram, sp_dropdiagram, sp_helpdiagramdefinition, sp_helpdiagrams, sp_renamediagram, sp_upgraddiagrams, sysdiagrams",CREATE FUNCTION dbo.fn_diagramobjects()
FUNCTION,fn_diagramobjects,9,"fn_diagramobjects, sp_alterdiagram, sp_creatediagram, sp_dropdiagram, sp_helpdiagramdefinition, sp_helpdiagrams, sp_renamediagram, sp_upgraddiagrams, sysdiagrams",CREATE FUNCTION dbo.fn_diagramobjects()
FUNCTION,Fn_TypeIsLocked,1,brv_type_situ,"CREATE FUNCTION Fn_TypeIsLocked ( @Link_Proj INT,@Type_ID INT )"
FUNCTION,Fn_VersionNztIsLocked,2,"Fn_VersionNztIsLocked, smn_Version_Type","CREATE FUNCTION [dbo].[Fn_VersionNztIsLocked] ( @Link_Proj INT,@Type_ID INT )"
FUNCTION,Fn_VersionNztIsLocked,2,"Fn_VersionNztIsLocked, smn_Version_Type","CREATE FUNCTION [dbo].[Fn_VersionNztIsLocked] ( @Link_Proj INT,@Type_ID INT )"
FUNCTION,get_new_id,3,"brv_mogs, get_new_id, val","CREATE FUNCTION dbo.get_new_id ()-- (@table nvarchar(500) , @grop nvarchar(500) )"
FUNCTION,GetCofhExists,2,"base_book, base_fhbh",CREATE FUNCTION GetCofhExists
FUNCTION,GetCofhOfNmmhb,1,base_nmmhb,CREATE FUNCTION GetCofhOfNmmhb
FUNCTION,GetCofhOfNmmhb,1,base_nmmhb,CREATE FUNCTION GetCofhOfNmmhb
FUNCTION,GetLinkSorclist,2,"GetLinkSorclist, base_sorc_list",CREATE FUNCTION [dbo].[GetLinkSorclist]
FUNCTION,GetNuse,2,"GetNuse, brv_fhbh",CREATE FUNCTION [dbo].[GetNuse]
FUNCTION,GetStuBarcode,1,GetStuBarcode,CREATE FUNCTION [dbo].[GetStuBarcode]
FUNCTION,GetTypId,0,,CREATE FUNCTION GetTypId
FUNCTION,GetTypId,0,,CREATE FUNCTION GetTypId
FUNCTION,IsChar,0,,CREATE FUNCTION IsChar
FUNCTION,ISEmptyOrNUll,1,ISEmptyOrNUll,CREATE FUNCTION [dbo].[ISEmptyOrNUll]
FUNCTION,IsProjectAvailable,0,,"CREATE FUNCTION IsProjectAvailable ( @ContractID int, @RoleID int)"
FUNCTION,ISZeroOrNUll,0,,CREATE FUNCTION ISZeroOrNUll
FUNCTION,ISZeroOrNUllDecimal_10,4,"ISZeroOrNUllDecimal_10, brv_nmmhb, brv_sorc, brv_sorc_all",CREATE FUNCTION [dbo].[ISZeroOrNUllDecimal_10]
FUNCTION,ISZeroOrNUllDecimal_6,1,ISZeroOrNUllDecimal_6,CREATE FUNCTION [dbo].[ISZeroOrNUllDecimal_6]
FUNCTION,ISZeroOrNUllFloat,1,ISZeroOrNUllFloat,CREATE FUNCTION [dbo].[ISZeroOrNUllFloat]
FUNCTION,KhmtHasErrInRad,1,brv_khmt,CREATE FUNCTION KhmtHasErrInRad
FUNCTION,KhmtHasErrInRadDT,1,brv_khmt,CREATE FUNCTION KhmtHasErrInRadDT
FUNCTION,LstUsesOfUnit,7,"LstUsesOfUnit, atm_Detail_Parts, base_fhbh, base_sorc_list, base_unit_raw, brv_fhbh, brv_sorc_all",CREATE FUNCTION [dbo].[LstUsesOfUnit]
FUNCTION,make_nuse,0,,create Function make_nuse (@Str nvarchar(2) )
FUNCTION,MakeDate,2,"AddZeroToMake2Digit, MakeDate",CREATE FUNCTION [dbo].[MakeDate]
FUNCTION,MakeFilterForNufh,0,,CREATE FUNCTION MakeFilterForNufh
FUNCTION,MyReplace,1,MyReplace,CREATE FUNCTION [dbo].[MyReplace] (@vchValue nvarchar(4000))
FUNCTION,MyReplace,1,MyReplace,CREATE FUNCTION [dbo].[MyReplace] (@vchValue nvarchar(4000))
FUNCTION,MyReplace,1,MyReplace,CREATE FUNCTION [dbo].[MyReplace] (@vchValue nvarchar(4000))
FUNCTION,project_row_count,1,project_row_count,"CREATE FUNCTION [dbo].project_row_count ( @code int , @nusv int , @type int)"
